datetime,flow
2016-01-30 16:00,25315.2
2016-01-30 20:00,23241.6
2016-01-31 00:00,21772.8
2016-01-31 04:00,19267.2
2016-01-31 08:00,20995.2
2016-01-31 12:00,24192
2016-01-31 16:00,23155.2
2016-01-31 20:00,19008
2016-02-01 00:00,20390.4
2016-02-01 04:00,16070.4
2016-02-01 08:00,11404.8
2016-02-01 12:00,9417.6
2016-02-01 16:00,6220.8
2016-02-01 20:00,8467.2
2016-02-02 00:00,13046.4
2016-02-02 04:00,12441.6
2016-02-02 08:00,13219.2
2016-02-02 12:00,13737.6
2016-02-02 16:00,12182.4
2016-02-02 20:00,14169.6
2016-02-03 00:00,25056
2016-02-03 04:00,27216
2016-02-03 08:00,20476.8
2016-02-03 12:00,16675.2
2016-02-03 16:00,15552
2016-02-03 20:00,14515.2
2016-02-04 00:00,14774.4
2016-02-04 04:00,13392
2016-02-04 08:00,12700.8
2016-02-04 12:00,11664
2016-02-04 16:00,14169.6
2016-02-04 20:00,13910.4
2016-02-05 00:00,11836.8
2016-02-05 04:00,9763.2
2016-02-05 08:00,11577.6
2016-02-05 12:00,9849.6
2016-02-05 16:00,8985.6
2016-02-05 20:00,8726.4
2016-02-06 00:00,8035.2
2016-02-06 04:00,5875.2
2016-02-06 08:00,6652.8
2016-02-06 12:00,7516.8
2016-02-06 16:00,8553.6
2016-02-06 20:00,10368
2016-02-07 00:00,9849.6
2016-02-07 04:00,10886.4
2016-02-07 08:00,13219.2
2016-02-07 12:00,14428.8
2016-02-07 16:00,15811.2
2016-02-07 20:00,19267.2
2016-02-08 00:00,21427.2
2016-02-08 04:00,21772.8
2016-02-08 08:00,23500.8
2016-02-08 12:00,22896
2016-02-08 16:00,26784
2016-02-08 20:00,28944
2016-02-09 00:00,30326.4
2016-02-09 04:00,31449.6
2016-02-09 08:00,35337.6
2016-02-09 12:00,37584
2016-02-09 16:00,37670.4
2016-02-09 20:00,40780.8
2016-02-10 00:00,37238.4
2016-02-10 04:00,34041.6
2016-02-10 08:00,36028.8
2016-02-10 12:00,34214.4
2016-02-10 16:00,36806.4
2016-02-10 20:00,33177.6
2016-02-11 00:00,32745.6
2016-02-11 04:00,30067.2
2016-02-11 08:00,29289.6
2016-02-11 12:00,28944
2016-02-11 16:00,27302.4
2016-02-11 20:00,23673.6
2016-02-12 00:00,21168
2016-02-12 04:00,16502.4
2016-02-12 08:00,15379.2
2016-02-12 12:00,17107.2
2016-02-12 16:00,18316.8
2016-02-12 20:00,18489.6
2016-02-13 00:00,18576
2016-02-13 04:00,17107.2
2016-02-13 08:00,17971.2
2016-02-13 12:00,17280
2016-02-13 16:00,17193.6
2016-02-13 20:00,17884.8
2016-02-14 00:00,15120
2016-02-14 04:00,14342.4
2016-02-14 08:00,13651.2
2016-02-14 12:00,14256
2016-02-14 16:00,17280
2016-02-14 20:00,18921.6
2016-02-15 00:00,18230.4
2016-02-15 04:00,14860.8
2016-02-15 08:00,15638.4
2016-02-15 12:00,11664
2016-02-15 16:00,12960
2016-02-15 20:00,12700.8
2016-02-16 00:00,14428.8
2016-02-16 04:00,13737.6
2016-02-16 08:00,15638.4
2016-02-16 12:00,11318.4
2016-02-16 16:00,6566.4
2016-02-16 20:00,5788.8
2016-02-17 00:00,4320
2016-02-17 04:00,5875.2
2016-02-17 08:00,6998.4
2016-02-17 12:00,6220.8
2016-02-17 16:00,5961.6
2016-02-17 20:00,8640
2016-02-18 00:00,7862.4
2016-02-18 04:00,8812.8
2016-02-18 08:00,9849.6
2016-02-18 12:00,8640
2016-02-18 16:00,9676.8
2016-02-18 20:00,9676.8
2016-02-19 00:00,8899.2
2016-02-19 04:00,7430.4
2016-02-19 08:00,8812.8
2016-02-19 12:00,13824
2016-02-19 16:00,7603.2
2016-02-19 20:00,7171.2
2016-02-20 00:00,7344
2016-02-20 04:00,5875.2
2016-02-20 08:00,6480
2016-02-20 12:00,6307.2
2016-02-20 16:00,6566.4
2016-02-20 20:00,6566.4
2016-02-21 00:00,7516.8
2016-02-21 04:00,7689.6
2016-02-21 08:00,8899.2
2016-02-21 12:00,8985.6
2016-02-21 16:00,7516.8
2016-02-21 20:00,6998.4
2016-02-22 00:00,7776
2016-02-22 04:00,8812.8
2016-02-22 08:00,11059.2
2016-02-22 12:00,10972.8
2016-02-22 16:00,10281.6
2016-02-22 20:00,10022.4
