Namn,N,E,Prov,Typ,Datum,Tetrachlorethylen
NI15-Ö17,6656961.799,160920.153,NI15-Ö17 (15. juni),Piezometer,2016-06-17,180
NI15-Ö18,6656958.729,160913.484,NI15-Ö18,Piezometer,2016-06-17,170
NI15-Ö19,6656877.166,160818.965,NI15-Ö19,Piezometer,2016-06-17,1200
NI15-Ö2,6656877.195,160994.12,NI15-Ö2,Piezometer,2016-06-17,21
NI15-Ö20,6656880.535,160817.801,NI15-Ö20,Piezometer,2016-06-17,350
NI15-Ö22,6656883.565,160815.789,NI15-Ö22,Piezometer,2016-06-17,410
NI15-Ö24,6656885.627,160813.45,NI15-Ö24,Piezometer,2016-06-17,540
NI15-Ö25,6656890.64,160809.295,NI15-Ö25,Piezometer,2016-06-17,3
NI15-Ö26,6657066.322,161138.16,NI15-Ö26,Grab sample,2016-06-17,"<0,020"
NI15-Ö27,6657001.735,161098.632,NI15-Ö27,Grab sample,2016-06-17,"<0,020"
NI15-Ö28,6656872.18,161069.306,NI15-Ö28,Grab sample,2016-06-17,0.024
NI15-Ö29,6656868.85,161021.5,NI15-Ö29,Grab sample,2016-06-17,0.048
NI15-Ö3,6656875.736,160993.881,NI15-Ö3,Piezometer,2016-06-17,2.5
NI15-Ö30,6656897.07,160993.06,NI15-Ö30,Grab sample,2016-06-17,12
NI15-Ö31,6656924.63,160946.14,NI15-Ö31,Grab sample,2016-06-17,31
NI15-Ö32,6656942.37,160935.27,NI15-Ö32,Grab sample,2016-06-17,29
NI15-Ö33,6656943.166,160907.726,NI15-Ö33,Grab sample,2016-06-17,39
NI15-Ö34,6656930.75,160894.85,NI15-Ö34,Grab sample,2016-06-17,230
NI15-Ö35,6656923.22,160897.84,NI15-Ö35,Grab sample,2016-06-17,31
NI15-Ö36,6656898.69,160880.45,NI15-Ö36,Grab sample,2016-06-17,37
NI15-Ö37,6656871.72,160821.78,NI15-Ö37,Grab sample,2016-06-17,37
NI15-Ö38,6656895.12,160805.24,NI15-Ö38,Grab sample,2016-06-17,59
NI15-Ö39,6656903.98,160767.87,NI15-Ö39,Grab sample,2016-06-17,79
NI15-Ö4,6656876.345,160996.921,NI15-Ö4,Piezometer,2016-06-17,4000
NI15-Ö40,6656920.487,160783.535,NI15-Ö40,Grab sample,2016-06-17,200
NI15-Ö41,6656921.408,160795.945,NI15-Ö41,Grab sample,2016-06-17,1500
NI15-Ö42A,6656904.5,160780.6,NI15-Ö42A,Grab sample,2016-06-17,630
NI15-Ö43,6656903.398,160674.984,NI15-Ö43,Grab sample,2016-06-17,69
NI15-Ö44,6656902.07,160989.29,NI15-Ö44,Piezometer,2016-06-17,660
NI15-Ö45,6656905.01,160986.8,NI15-Ö45,Piezometer,2016-06-17,46
NI15-Ö46,6656962.48,160918.9,NI15-Ö46,Piezometer,2016-06-17,58
NI15-Ö47,6656924.15,160898.41,NI15-Ö47,Piezometer,2016-06-17,300
NI15-Ö48,6656905.54,160770.48,NI15-Ö48,Piezometer,2016-06-17,120
NI15-Ö6,6656870.804,161007.159,NI15-Ö6,Piezometer,2016-06-17,370
NI15-Ö8,6656869.585,161022.65,NI15-Ö8,Piezometer,2016-06-17,43
NI16-Ö1,6656930.75,160894.85,NI16-Ö1,Piezometer,2016-06-17,1200
NI16-Ö10,6656949.46,160952.43,NI16-Ö10,Piezometer,2016-06-17,1.8
NI16-Ö11,6656955.15,160944.9147,NI16-Ö11,Grab sample,2016-06-17,91
NI16-Ö13,6656916.13,160986.1,NI16-Ö13,Grab sample,2016-06-17,83
NI16-Ö14,6656935.07,160883.8,NI16-Ö14,Piezometer,2016-06-17,0.099
NI16-Ö15,6656909.62,160873.18,NI16-Ö15,Piezometer,2016-06-17,190
NI16-Ö16,6656895.49,160847.49,NI16-Ö16,Piezometer,2016-06-17,"<0,020"
NI16-Ö17,6656901.94,160827.14,NI16-Ö17,Piezometer,2016-06-17,0.78
NI16-Ö18,6656894.31,160813.33,NI16-Ö18,Piezometer,2016-06-17,0.025
NI16-Ö19,6656905.33,160784.28,NI16-Ö19,Piezometer,2016-06-17,380
NI16-Ö2,6656927.63,160895.94,NI16-Ö2,Piezometer,2016-06-17,130
NI16-Ö20,6656877.15,160849.81,NI16-Ö20,Piezometer,2016-06-17,8.5
NI16-Ö21,6656888.53,160870.59,NI16-Ö21,Piezometer,2016-06-17,760
NI16-Ö22,6656907.77,160887.11,NI16-Ö22,Piezometer,2016-06-17,4100
NI16-Ö23,6657065.94,161149.32,NI16-Ö23,Piezometer,2016-06-17,"<0,020"
NI16-Ö24,6656920.64,160809.3,NI16-Ö24,Grab sample,2016-06-17,470
NI16-Ö25,6656900.5,160792.54,NI16-Ö25,Grab sample,2016-06-17,2500
NI16-Ö26,6656926.86,160877.25,NI16-Ö26,Piezometer,2016-06-17,11
NI16-Ö27,6656903.73,160862.84,NI16-Ö27,Piezometer,2016-06-17,0.028
NI16-Ö28,6656878.8,160826.94,NI16-Ö28,Piezometer,2016-06-17,1900
NI16-Ö29,6656910.43,160822.7,NI16-Ö29,Piezometer,2016-06-17,420
NI16-Ö3,6656921.16,160795.67,NI16-Ö3,Piezometer,2016-06-17,1600
NI16-Ö4,6656921.09,160783.53,NI16-Ö4,Piezometer,2016-06-17,2.8
NI16-Ö5,6656908.33,160773.45,NI16-Ö5,Piezometer,2016-06-17,8.1
NI16-Ö6,6656903.3,160780,NI16-Ö6,Piezometer,2016-06-17,10
NI16-Ö7,6656875.39,160819.8,NI16-Ö7,Piezometer,2016-06-17,1200
NI16-Ö8,6656952.19,160946.74,NI16-Ö8,Piezometer,2016-06-17,44
NI16-Ö9,6656951.93,160951.21,NI16-Ö9,Piezometer,2016-06-17,1.1
Gl_brunn,6656936.327,160972.409,Gl_brunn,Brunn,2016-02-26,3.2
NI15-Ö26,6657066.322,161138.16,NI15-Ö26,Grab sample,2016-02-26,"<0,020"
NI15-Ö28,6656872.18,161069.306,NI15-Ö28,Grab sample,2016-02-26,"<0,020"
NI15-Ö28A,6656867.34,161044.47,NI15-Ö28A,Grab sample,2016-02-26,"<0,020"
NI15-Ö29,6656868.85,161021.5,NI15-Ö29,Grab sample,2016-02-26,"<0,020"
NI15-Ö30,6656897.07,160993.06,NI15-Ö30,Grab sample,2016-02-26,6.7
NI15-Ö31,6656924.63,160946.14,NI15-Ö31,Grab sample,2016-02-26,15
NI15-Ö32,6656942.37,160935.27,NI15-Ö32,Grab sample,2016-02-26,15
NI15-Ö33,6656943.166,160907.726,NI15-Ö33,Grab sample,2016-02-26,18
NI15-Ö34,6656930.75,160894.85,NI15-Ö34,Grab sample,2016-02-26,380
NI15-Ö35,6656923.22,160897.84,NI15-Ö35,Grab sample,2016-02-26,17
NI15-Ö36,6656898.69,160880.45,NI15-Ö36,Grab sample,2016-02-26,23
NI15-Ö37,6656871.72,160821.78,NI15-Ö37,Grab sample,2016-02-26,23
NI15-Ö38,6656895.12,160805.24,NI15-Ö38,Grab sample,2016-02-26,25
NI15-Ö39,6656903.98,160767.87,NI15-Ö39,Grab sample,2016-02-26,230
NI15-Ö40,6656920.487,160783.535,NI15-Ö40,Grab sample,2016-02-26,540
NI15-Ö41,6656921.408,160795.945,NI15-Ö41,Grab sample,2016-02-26,2200
NI15-Ö42A,6656904.5,160780.6,NI15-Ö42A,Grab sample,2016-02-26,700
NI15-Ö43,6656903.398,160674.984,NI15-Ö43,Grab sample,2016-02-26,61
NI15-Ö47,6656924.15,160898.41,NI15-Ö47,Piezometer,2016-02-26,360
NI16-Ö1,6656930.75,160894.85,NI16-Ö1,Piezometer,2016-02-26,2200
NI16-Ö10,6656949.46,160952.43,NI16-Ö10,Piezometer,2016-02-26,3.5
NI16-Ö11,6656955.15,160944.9147,NI16-Ö11,Grab sample,2016-02-26,77
NI16-Ö13,6656916.13,160986.1,NI16-Ö13,Grab sample,2016-02-26,45
NI16-Ö2,6656927.63,160895.94,NI16-Ö2,Piezometer,2016-02-26,270
NI16-Ö3,6656921.16,160795.67,NI16-Ö3,Piezometer,2016-02-26,16
NI16-Ö4,6656921.09,160783.53,NI16-Ö4,Piezometer,2016-02-26,88
NI16-Ö5,6656908.33,160773.45,NI16-Ö5,Piezometer,2016-02-26,2000
NI16-Ö6,6656903.3,160780,NI16-Ö6,Piezometer,2016-02-26,13
NI16-Ö7,6656875.39,160819.8,NI16-Ö7,Piezometer,2016-02-26,2500
NI16-Ö8,6656952.19,160946.74,NI16-Ö8,Piezometer,2016-02-26,140
NI16-Ö9,6656951.93,160951.21,NI16-Ö9,Piezometer,2016-02-26,1.6
NI15-Ö1,6656881.177,160996.519,NI15-Ö1,Piezometer,2015-12-01,95
NI15-Ö10,6656882.251,160999.744,NI15-Ö10,Piezometer,2015-12-01,470
NI15-Ö11,6656880.616,160997.242,NI15-Ö11,Piezometer,2015-12-01,6.1
NI15-Ö12,6656881.711,160996.141,NI15-Ö12,Piezometer,2015-12-01,980
NI15-Ö15,6656951.921,160918.647,NI15-Ö15,Piezometer,2015-12-01,0.29
NI15-Ö16,6656956,160924.1,NI15-Ö16,Piezometer,2015-12-01,0.15
NI15-Ö17,6656961.799,160920.153,NI15-Ö17,Piezometer,2015-12-01,9.3
NI15-Ö2,6656877.195,160994.12,NI15-Ö2,Piezometer,2015-12-01,0.22
NI15-Ö26,6657066.322,161138.16,NI15-Ö26,Grab sample,2015-12-01,"<0,020"
NI15-Ö27,6657001.735,161098.632,NI15-Ö27,Grab sample,2015-12-01,"<0,020"
NI15-Ö28,6656872.18,161069.306,NI15-Ö28,Grab sample,2015-12-01,"<0,020"
NI15-Ö29,6656868.85,161021.5,NI15-Ö29,Grab sample,2015-12-01,0.13
NI15-Ö30,6656897.07,160993.06,NI15-Ö30,Grab sample,2015-12-01,1.2
NI15-Ö31,6656924.63,160946.14,NI15-Ö31,Grab sample,2015-12-01,2.6
NI15-Ö32,6656942.37,160935.27,NI15-Ö32,Grab sample,2015-12-01,3
NI15-Ö33,6656943.166,160907.726,NI15-Ö33,Grab sample,2015-12-01,4.2
NI15-Ö34,6656930.75,160894.85,NI15-Ö34,Grab sample,2015-12-01,460
NI15-Ö35,6656923.22,160897.84,NI15-Ö35,Grab sample,2015-12-01,3.2
NI15-Ö36,6656898.69,160880.45,NI15-Ö36,Grab sample,2015-12-01,4.4
NI15-Ö37,6656871.72,160821.78,NI15-Ö37,Grab sample,2015-12-01,4
NI15-Ö38,6656895.12,160805.24,NI15-Ö38,Grab sample,2015-12-01,5
NI15-Ö39,6656903.98,160767.87,NI15-Ö39,Grab sample,2015-12-01,12
NI15-Ö40,6656920.487,160783.535,NI15-Ö40,Grab sample,2015-12-01,320
NI15-Ö41,6656921.408,160795.945,NI15-Ö41,Grab sample,2015-12-01,1000
NI15-Ö42,6656912.57,160855.82,NI15-Ö42,Grab sample,2015-12-01,0.14
NI15-Ö43,6656903.398,160674.984,NI15-Ö43,Grab sample,2015-12-01,8
NI15-Ö44,6656902.07,160989.29,NI15-Ö44,Piezometer,2015-12-01,260
NI15-Ö45,6656905.01,160986.8,NI15-Ö45,Piezometer,2015-12-01,47
NI15-Ö46,6656962.48,160918.9,NI15-Ö46,Piezometer,2015-12-01,37
NI15-Ö47,6656924.15,160898.41,NI15-Ö47,Piezometer,2015-12-01,67
NI15-Ö48,6656905.54,160770.48,NI15-Ö48,Piezometer,2015-12-01,56
NI15-Ö9,6656898.167,160992.856,NI15-Ö9,Piezometer,2015-12-01,24
