oul_no,station_no,station_name,datetime_placed,datetime_collected,flourescein_conc_ppb,eosine_conc_ppb,rwt_conc_ppb,srb_conc_ppb,monitoring_round,exposure_time_days,comments
D9591,71, Nedstroms NI16-O8,2018-11-07 00:00,2019-11-26 14:05,,,,,ROUND 33,384,
D9592,72, Uppstroms NI16-O1,2018-11-07 00:00,2019-11-26 12:45,,,,,ROUND 33,384,
D9593,57, NI16-O1,2018-11-07 00:00,2019-11-26 12:36,,,29.1,,ROUND 33,384,
D9594,7, NI16-O22,2019-08-08 00:00,2019-11-26 12:25,,,,2.69,ROUND 33,110,
D9595,68, NI16-O21,2018-11-07 00:00,2019-11-26 12:15,,,,1.6,ROUND 33,384,
D9596,67, NI16-O20,2019-08-08 00:00,2019-11-26 12:10,,,,,ROUND 33,110,
D9597,81, NI15-O37,2018-11-07 00:00,2019-11-26 11:55,,,,3.19,ROUND 33,384,
D9598,8, NI15-O20,2019-08-08 00:00,2019-11-26 11:45,,,26,,ROUND 33,110,
D9599,80,  NI15-O38,2019-08-08 00:00,2019-11-26 11:35,2.27,,15.7,,ROUND 33,110,
D9601,79, NI16-O6,2019-08-08 00:00,2019-11-26 11:25,8.59,,49.7,,ROUND 33,110,
D9602,56, NI16-O4,2019-05-27 00:00,2019-11-26 11:15,742,,1520,,ROUND 33,183,
D9603,9, NI15-O48,2019-08-08 00:00,2019-11-26 11:20,16.3,,57.7,,ROUND 33,110,
D9604,69, Uppstroms betongtroskel,2019-08-08 00:00,2019-11-26 10:55,7.06,,33.5,,ROUND 33,110,
D9605,131, Nedstroms betongtroskel,2019-08-08 00:00,2019-11-26 10:45,5.03,,26.1,,ROUND 33,110,
E0294,7, NI16-O22,2019-11-26 00:00,2019-12-17 00:00,,,,,ROUND 35,21,
E0295,8, NI15-O20,2019-11-26 00:00,2019-12-17 11:00,,,,,ROUND 35,21,
E0297,40, NI-12,2019-11-26 00:00,2019-12-17 11:30,,,,,ROUND 35,21,
E0298,56, NI16-O4,2019-11-26 00:00,2019-12-17 10:26,74.7,,87.3,,ROUND 35,21,
E0299,67, NI16-O20,2019-11-26 00:00,2019-12-17 11:05,,,,,ROUND 35,21,
E0301,69, uppstroms betontroskel,2019-11-26 00:00,2019-12-17 10:10,1.16,,,,ROUND 35,21,
E0302,80, NI15-O38,2019-11-26 00:00,2019-12-17 10:47,,,,,ROUND 35,21,
E0303,131, Nedstroms betongtroskel,2019-11-26 00:00,2019-12-17 09:55,1.52,,,,ROUND 35,21,
