 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0055        427080.000    6654860.000        132.668       1   0.0    1.0                  28.800         28.800          7.595   0.0       0.0       0.0
 PPC0056        427080.000    6654890.000        132.681       1   0.0    1.0                  28.800         28.800          6.882   0.0       0.0       0.0
 PPC0057        427080.000    6654920.000        132.217       1   0.0    1.0                  28.800         28.800          6.148   0.0       0.0       0.0
 PPC0058        427080.000    6654950.000        130.998       1   0.0    1.0                  28.800         28.800          5.078   0.0       0.0       0.0
 PPC0059        427080.000    6654980.000        132.238       1   0.0    1.0                  28.800         28.800          5.800   0.0       0.0       0.0
 PPC0060        427080.000    6655010.000        133.941       1   0.0    1.0                  28.800         28.800          8.381   0.0       0.0       0.0
 PPC0061        427110.000    6654710.000        130.401       1   0.0    1.0                  28.800         28.800          8.246   0.0       0.0       0.0
 PPC0062        427110.000    6654740.000        130.263       1   0.0    1.0                  28.800         28.800          6.361   0.0       0.0       0.0
 PPC0063        427110.000    6654770.000        130.076       1   0.0    1.0                  28.800         28.800          6.464   0.0       0.0       0.0
 PPC0064        427110.000    6654800.000        130.552       1   0.0    1.0                  28.800         28.800          6.939   0.0       0.0       0.0
 PPC0065        427110.000    6654830.000        132.616       1   0.0    1.0                  28.800         28.800          8.011   0.0       0.0       0.0
 PPC0066        427110.000    6654860.000        133.335       1   0.0    1.0                  28.800         28.800          7.703   0.0       0.0       0.0
 PPC0067        427110.000    6654890.000        133.276       1   0.0    1.0                  28.800         28.800          6.973   0.0       0.0       0.0
 PPC0068        427110.000    6654920.000        132.908       1   0.0    1.0                  28.800         28.800          6.494   0.0       0.0       0.0
 PPC0069        427110.000    6654950.000        131.614       1   0.0    1.0                  28.800         28.800          5.428   0.0       0.0       0.0
 PPC0070        427110.000    6654980.000        133.083       1   0.0    1.0                  28.800         28.800          6.420   0.0       0.0       0.0
 PPC0071        427110.000    6655010.000        134.015       1   0.0    1.0                  28.800         28.800          8.324   0.0       0.0       0.0
 PPC0072        427140.000    6654710.000        130.489       1   0.0    1.0                  28.800         28.800          8.020   0.0       0.0       0.0
 PPC0073        427140.000    6654740.000        130.493       1   0.0    1.0                  28.800         28.800          5.993   0.0       0.0       0.0
 PPC0074        427140.000    6654770.000        130.687       1   0.0    1.0                  28.800         28.800          6.105   0.0       0.0       0.0
 PPC0075        427140.000    6654800.000        130.834       1   0.0    1.0                  28.800         28.800          6.323   0.0       0.0       0.0
 PPC0076        427140.000    6654830.000        133.070       1   0.0    1.0                  28.800         28.800          7.750   0.0       0.0       0.0
 PPC0077        427140.000    6654860.000        134.169       1   0.0    1.0                  28.800         28.800          7.604   0.0       0.0       0.0
 PPC0078        427140.000    6654890.000        134.081       1   0.0    1.0                  28.800         28.800          7.006   0.0       0.0       0.0
 PPC0079        427140.000    6654920.000        133.843       1   0.0    1.0                  28.800         28.800          6.822   0.0       0.0       0.0
 PPC0080        427140.000    6654950.000        130.907       1   0.0    1.0                  28.800         28.800          4.911   0.0       0.0       0.0
 PPC0081        427140.000    6654980.000        134.233       1   0.0    1.0                  28.800         28.800          7.020   0.0       0.0       0.0
 PPC0082        427140.000    6655010.000        134.366       1   0.0    1.0                  28.800         28.800          8.314   0.0       0.0       0.0
 PPC0083        427170.000    6654710.000        133.111       1   0.0    1.0                  28.800         28.800         10.097   0.0       0.0       0.0
 PPC0084        427170.000    6654740.000        131.394       1   0.0    1.0                  28.800         28.800          6.528   0.0       0.0       0.0
 PPC0085        427170.000    6654770.000        131.091       1   0.0    1.0                  28.800         28.800          5.936   0.0       0.0       0.0
 PPC0086        427170.000    6654800.000        131.217       1   0.0    1.0                  28.800         28.800          5.932   0.0       0.0       0.0
 PPC0087        427170.000    6654830.000        132.123       1   0.0    1.0                  28.800         28.800          6.417   0.0       0.0       0.0
 PPC0088        427170.000    6654860.000        134.093       1   0.0    1.0                  28.800         28.800          7.120   0.0       0.0       0.0
 PPC0089        427170.000    6654890.000        135.499       1   0.0    1.0                  28.800         28.800          7.503   0.0       0.0       0.0
 PPC0090        427170.000    6654920.000        134.859       1   0.0    1.0                  28.800         28.800          7.151   0.0       0.0       0.0
 PPC0091        427170.000    6654950.000        131.352       1   0.0    1.0                  28.800         28.800          4.591   0.0       0.0       0.0
 PPC0092        427170.000    6654980.000        133.446       1   0.0    1.0                  28.800         28.800          6.026   0.0       0.0       0.0
 PPC0093        427170.000    6655010.000        134.853       1   0.0    1.0                  28.800         28.800          6.737   0.0       0.0       0.0
 PPC0094        427170.000    6655040.000        136.214       1   0.0    1.0                  31.782         31.782          8.202   0.0       0.0       0.0
 PPC0095        427200.000    6654710.000        133.817       1   0.0    1.0                  28.800         28.800         10.272   0.0       0.0       0.0
