obsnme,obsval,weight,obgnme
hds_usecol:ni15-o47_time:1.0,134.2477669,1.0,hds_usecol:ni15-o47
hds_usecol:ni15-o48_time:1.0,133.3181318,1.0,hds_usecol:ni15-o48
hds_usecol:ni1501-1_time:1.0,136.3584848,1.0,hds_usecol:ni1501-1
hds_usecol:ni1501-2_time:1.0,136.3730787,1.0,hds_usecol:ni1501-2
hds_usecol:ni1501-3_time:1.0,136.3740595,1.0,hds_usecol:ni1501-3
hds_usecol:ni1502-2_time:1.0,138.364804,1.0,hds_usecol:ni1502-2
hds_usecol:ni1502-3_time:1.0,138.3649887,1.0,hds_usecol:ni1502-3
hds_usecol:ni1503-2_time:1.0,138.4753304,1.0,hds_usecol:ni1503-2
hds_usecol:ni1503-3_time:1.0,138.4766361,1.0,hds_usecol:ni1503-3
hds_usecol:ni1504-2_time:1.0,138.3885141,1.0,hds_usecol:ni1504-2
hds_usecol:ni1504-3_time:1.0,138.3895658,1.0,hds_usecol:ni1504-3
hds_usecol:ni1505-1_time:1.0,138.0853255,1.0,hds_usecol:ni1505-1
hds_usecol:ni1505-2_time:1.0,138.0776001,1.0,hds_usecol:ni1505-2
hds_usecol:ni1505-3_time:1.0,138.0722791,1.0,hds_usecol:ni1505-3
hds_usecol:ni1506-1_time:1.0,138.0245469,1.0,hds_usecol:ni1506-1
hds_usecol:ni1506-2_time:1.0,138.0145451,1.0,hds_usecol:ni1506-2
hds_usecol:ni1506-3_time:1.0,138.005215,1.0,hds_usecol:ni1506-3
hds_usecol:ni1507-2_time:1.0,137.6813586,1.0,hds_usecol:ni1507-2
hds_usecol:ni1507-3_time:1.0,137.6764657,1.0,hds_usecol:ni1507-3
hds_usecol:ni1601-1_time:1.0,135.8853107,1.0,hds_usecol:ni1601-1
hds_usecol:ni1601-2_time:1.0,135.8454532,1.0,hds_usecol:ni1601-2
hds_usecol:ni1601-3_time:1.0,135.8368656,1.0,hds_usecol:ni1601-3
hds_usecol:ni1602-1_time:1.0,134.8291381,1.0,hds_usecol:ni1602-1
hds_usecol:ni1602-2_time:1.0,134.8799857,1.0,hds_usecol:ni1602-2
hds_usecol:ni1603-1_time:1.0,135.0453142,1.0,hds_usecol:ni1603-1
hds_usecol:ni1603-2_time:1.0,135.1042498,1.0,hds_usecol:ni1603-2
hds_usecol:ni1604-1_time:1.0,136.4767847,1.0,hds_usecol:ni1604-1
hds_usecol:ni1604-3_time:1.0,136.4825996,1.0,hds_usecol:ni1604-3
hds_usecol:ni1605b-1_time:1.0,136.7847945,1.0,hds_usecol:ni1605b-1
