obsnme,obsval,weight,obgnme,usecol,time
hds_usecol:ni1410-1_time:1.0,137.8825999,0.0,hds_usecol:ni1410-1,ni1410-1,1.0
hds_usecol:ni1410-2_time:1.0,137.8627311,0.0,hds_usecol:ni1410-2,ni1410-2,1.0
hds_usecol:ni1410-3_time:1.0,137.8512708,0.0,hds_usecol:ni1410-3,ni1410-3,1.0
hds_usecol:ni1411-1_time:1.0,138.086754,0.0,hds_usecol:ni1411-1,ni1411-1,1.0
hds_usecol:ni1411-2_time:1.0,138.0853769,0.0,hds_usecol:ni1411-2,ni1411-2,1.0
hds_usecol:ni1411-3_time:1.0,138.0744187,0.0,hds_usecol:ni1411-3,ni1411-3,1.0
hds_usecol:ni1412-1_time:1.0,136.5834317,0.0,hds_usecol:ni1412-1,ni1412-1,1.0
hds_usecol:ni1412-3_time:1.0,136.6039784,0.0,hds_usecol:ni1412-3,ni1412-3,1.0
hds_usecol:ni1413-1_time:1.0,136.3685329,0.0,hds_usecol:ni1413-1,ni1413-1,1.0
hds_usecol:ni1413-2_time:1.0,136.3978138,0.0,hds_usecol:ni1413-2,ni1413-2,1.0
hds_usecol:ni1413-3_time:1.0,136.4047446,0.0,hds_usecol:ni1413-3,ni1413-3,1.0
hds_usecol:ni15-o1_time:1.0,135.2619925,0.0,hds_usecol:ni15-o1,ni15-o1,1.0
hds_usecol:ni15-o44_time:1.0,135.336374,0.0,hds_usecol:ni15-o44,ni15-o44,1.0
hds_usecol:ni15-o46_time:1.0,134.5423682,0.0,hds_usecol:ni15-o46,ni15-o46,1.0
hds_usecol:ni15-o47_time:1.0,134.2477669,0.0,hds_usecol:ni15-o47,ni15-o47,1.0
hds_usecol:ni15-o48_time:1.0,133.3181318,0.0,hds_usecol:ni15-o48,ni15-o48,1.0
hds_usecol:ni1501-1_time:1.0,136.3584848,0.0,hds_usecol:ni1501-1,ni1501-1,1.0
hds_usecol:ni1501-2_time:1.0,137.15,1.0,hds_usecol:ni1501-2,ni1501-2,1.0
hds_usecol:ni1501-3_time:1.0,136.99,1.0,hds_usecol:ni1501-3,ni1501-3,1.0
hds_usecol:ni1502-2_time:1.0,138.364804,0.0,hds_usecol:ni1502-2,ni1502-2,1.0
hds_usecol:ni1502-3_time:1.0,138.3649887,0.0,hds_usecol:ni1502-3,ni1502-3,1.0
hds_usecol:ni1503-2_time:1.0,139.33,1.0,hds_usecol:ni1503-2,ni1503-2,1.0
hds_usecol:ni1503-3_time:1.0,139.31,1.0,hds_usecol:ni1503-3,ni1503-3,1.0
hds_usecol:ni1504-2_time:1.0,138.3885141,0.0,hds_usecol:ni1504-2,ni1504-2,1.0
hds_usecol:ni1504-3_time:1.0,138.3895658,0.0,hds_usecol:ni1504-3,ni1504-3,1.0
hds_usecol:ni1505-1_time:1.0,138.0853255,0.0,hds_usecol:ni1505-1,ni1505-1,1.0
hds_usecol:ni1505-2_time:1.0,138.0776001,0.0,hds_usecol:ni1505-2,ni1505-2,1.0
hds_usecol:ni1505-3_time:1.0,138.0722791,0.0,hds_usecol:ni1505-3,ni1505-3,1.0
hds_usecol:ni1506-1_time:1.0,138.0245469,0.0,hds_usecol:ni1506-1,ni1506-1,1.0
hds_usecol:ni1506-2_time:1.0,138.0145451,0.0,hds_usecol:ni1506-2,ni1506-2,1.0
hds_usecol:ni1506-3_time:1.0,138.005215,0.0,hds_usecol:ni1506-3,ni1506-3,1.0
hds_usecol:ni1507-2_time:1.0,137.6813586,0.0,hds_usecol:ni1507-2,ni1507-2,1.0
hds_usecol:ni1507-3_time:1.0,137.6764657,0.0,hds_usecol:ni1507-3,ni1507-3,1.0
hds_usecol:ni1601-1_time:1.0,135.8853107,0.0,hds_usecol:ni1601-1,ni1601-1,1.0
hds_usecol:ni1601-2_time:1.0,137.9,1.0,hds_usecol:ni1601-2,ni1601-2,1.0
hds_usecol:ni1601-3_time:1.0,137.87,1.0,hds_usecol:ni1601-3,ni1601-3,1.0
hds_usecol:ni1602-1_time:1.0,134.8291381,0.0,hds_usecol:ni1602-1,ni1602-1,1.0
hds_usecol:ni1602-2_time:1.0,134.9,1.0,hds_usecol:ni1602-2,ni1602-2,1.0
hds_usecol:ni1603-1_time:1.0,135.0453142,0.0,hds_usecol:ni1603-1,ni1603-1,1.0
hds_usecol:ni1603-2_time:1.0,135.1042498,0.0,hds_usecol:ni1603-2,ni1603-2,1.0
hds_usecol:ni1604-1_time:1.0,136.4767847,0.0,hds_usecol:ni1604-1,ni1604-1,1.0
hds_usecol:ni1604-3_time:1.0,136.4825996,0.0,hds_usecol:ni1604-3,ni1604-3,1.0
hds_usecol:ni1605b-1_time:1.0,136.7847945,0.0,hds_usecol:ni1605b-1,ni1605b-1,1.0
hds_usecol:ni1605b-3_time:1.0,136.7984093,0.0,hds_usecol:ni1605b-3,ni1605b-3,1.0
hds_usecol:ni1606-1_time:1.0,134.4726765,0.0,hds_usecol:ni1606-1,ni1606-1,1.0
hds_usecol:ni1606-2_time:1.0,134.5096936,0.0,hds_usecol:ni1606-2,ni1606-2,1.0
hds_usecol:ni1606-3_time:1.0,134.5145228,0.0,hds_usecol:ni1606-3,ni1606-3,1.0
hds_usecol:ni1607-1_time:1.0,135.3472702,0.0,hds_usecol:ni1607-1,ni1607-1,1.0
hds_usecol:ni1607-2_time:1.0,135.3369154,0.0,hds_usecol:ni1607-2,ni1607-2,1.0
hds_usecol:ni1607-3_time:1.0,135.3361265,0.0,hds_usecol:ni1607-3,ni1607-3,1.0
hds_usecol:ni1608-1_time:1.0,135.1682634,0.0,hds_usecol:ni1608-1,ni1608-1,1.0
hds_usecol:ni1608-2_time:1.0,135.2026109,0.0,hds_usecol:ni1608-2,ni1608-2,1.0
hds_usecol:ni1608-3_time:1.0,135.210855,0.0,hds_usecol:ni1608-3,ni1608-3,1.0
hds_usecol:ni1609-2_time:1.0,135.3018061,0.0,hds_usecol:ni1609-2,ni1609-2,1.0
hds_usecol:ni1609-3_time:1.0,135.298328,0.0,hds_usecol:ni1609-3,ni1609-3,1.0
hds_usecol:ni1610-2_time:1.0,135.3225708,0.0,hds_usecol:ni1610-2,ni1610-2,1.0
hds_usecol:ni1611-1_time:1.0,135.4561848,0.0,hds_usecol:ni1611-1,ni1611-1,1.0
hds_usecol:ni1612-1_time:1.0,135.0194567,0.0,hds_usecol:ni1612-1,ni1612-1,1.0
hds_usecol:ni1612-2_time:1.0,135.0922566,0.0,hds_usecol:ni1612-2,ni1612-2,1.0
hds_usecol:ni1613-1_time:1.0,135.056928,0.0,hds_usecol:ni1613-1,ni1613-1,1.0
hds_usecol:ni1701-1_time:1.0,135.4820298,0.0,hds_usecol:ni1701-1,ni1701-1,1.0
hds_usecol:ni1702-1_time:1.0,135.4767806,0.0,hds_usecol:ni1702-1,ni1702-1,1.0
hds_usecol:ni1703-1_time:1.0,135.4377408,0.0,hds_usecol:ni1703-1,ni1703-1,1.0
hds_usecol:ni1703-2_time:1.0,135.4174307,0.0,hds_usecol:ni1703-2,ni1703-2,1.0
hds_usecol:ni1704-1_time:1.0,133.9194846,0.0,hds_usecol:ni1704-1,ni1704-1,1.0
hds_usecol:ni1704-2_time:1.0,133.9133428,0.0,hds_usecol:ni1704-2,ni1704-2,1.0
hds_usecol:ni1705-1_time:1.0,134.0808029,0.0,hds_usecol:ni1705-1,ni1705-1,1.0
hds_usecol:ni1705-2_time:1.0,134.0626248,0.0,hds_usecol:ni1705-2,ni1705-2,1.0
hds_usecol:ni1706-1_time:1.0,134.1560991,0.0,hds_usecol:ni1706-1,ni1706-1,1.0
hds_usecol:ni1706-2_time:1.0,134.1571883,0.0,hds_usecol:ni1706-2,ni1706-2,1.0
hds_usecol:ni1707-1_time:1.0,134.0445787,0.0,hds_usecol:ni1707-1,ni1707-1,1.0
hds_usecol:ni1708-1_time:1.0,136.2735324,0.0,hds_usecol:ni1708-1,ni1708-1,1.0
hds_usecol:ni1709-1_time:1.0,137.1583823,0.0,hds_usecol:ni1709-1,ni1709-1,1.0
hds_usecol:ni1711-1_time:1.0,136.4902014,0.0,hds_usecol:ni1711-1,ni1711-1,1.0
hds_usecol:ni1712-1_time:1.0,135.6431525,0.0,hds_usecol:ni1712-1,ni1712-1,1.0
hds_usecol:ni1801-1_time:1.0,133.8593237,0.0,hds_usecol:ni1801-1,ni1801-1,1.0
hds_usecol:ni1801-3_time:1.0,133.8827152,0.0,hds_usecol:ni1801-3,ni1801-3,1.0
hds_usecol:ni1802-1_time:1.0,133.9290981,0.0,hds_usecol:ni1802-1,ni1802-1,1.0
hds_usecol:ni1803-1_time:1.0,133.9627713,0.0,hds_usecol:ni1803-1,ni1803-1,1.0
hds_usecol:ni1803-3_time:1.0,133.9677005,0.0,hds_usecol:ni1803-3,ni1803-3,1.0
hds_usecol:ni1804-1_time:1.0,134.025095,0.0,hds_usecol:ni1804-1,ni1804-1,1.0
hds_usecol:ni1804-3_time:1.0,134.017967,0.0,hds_usecol:ni1804-3,ni1804-3,1.0
