datetime,head
2016-11-15 12:00,136.17
2016-11-15 16:00,136.15
2016-11-15 20:00,136.15
2016-11-16 00:00,136.16
2016-11-16 04:00,136.15
2016-11-16 08:00,136.15
2016-11-16 12:00,136.15
2016-11-16 16:00,136.15
2016-11-16 20:00,136.14
2016-11-17 00:00,136.17
2016-11-17 04:00,136.18
2016-11-17 08:00,136.19
2016-11-17 12:00,136.19
2016-11-17 16:00,136.2
2016-11-17 20:00,136.19
2016-11-18 00:00,136.19
2016-11-18 04:00,136.21
2016-11-18 08:00,136.23
2016-11-18 12:00,136.24
2016-11-18 16:00,136.24
2016-11-18 20:00,136.29
2016-11-19 00:00,136.28
2016-11-19 04:00,136.31
2016-11-19 08:00,136.33
2016-11-19 12:00,136.32
2016-11-19 16:00,136.32
2016-11-19 20:00,136.29
2016-11-20 00:00,136.3
2016-11-20 04:00,136.28
2016-11-20 08:00,136.26
2016-11-20 12:00,136.27
2016-11-20 16:00,136.26
2016-11-20 20:00,136.26
2016-11-21 00:00,136.27
2016-11-21 04:00,136.3
2016-11-21 08:00,136.31
2016-11-21 12:00,136.34
2016-11-21 16:00,136.33
2016-11-21 20:00,136.34
2016-11-22 00:00,136.32
2016-11-22 04:00,136.31
2016-11-22 08:00,136.3
2016-11-22 12:00,136.3
2016-11-22 16:00,136.29
2016-11-22 20:00,136.28
2016-11-23 00:00,136.28
2016-11-23 04:00,136.29
2016-11-23 08:00,136.28
2016-11-23 12:00,136.28
2016-11-23 16:00,136.26
2016-11-23 20:00,136.25
2016-11-24 00:00,136.24
2016-11-24 04:00,136.24
2016-11-24 08:00,136.23
2016-11-24 12:00,136.22
2016-11-24 16:00,136.22
2016-11-24 20:00,136.21
2016-11-25 00:00,136.22
2016-11-25 04:00,136.22
2016-11-25 08:00,136.22
2016-11-25 12:00,136.22
2016-11-25 16:00,136.19
2016-11-25 20:00,136.21
2016-11-26 00:00,136.21
2016-11-26 04:00,136.21
2016-11-26 08:00,136.21
2016-11-26 12:00,136.21
2016-11-26 16:00,136.21
2016-11-26 20:00,136.2
2016-11-27 00:00,136.2
2016-11-27 04:00,136.19
2016-11-27 08:00,136.19
2016-11-27 12:00,136.19
2016-11-27 16:00,136.19
2016-11-27 20:00,136.17
2016-11-28 00:00,136.17
2016-11-28 04:00,136.18
2016-11-28 08:00,136.18
2016-11-28 12:00,136.14
2016-11-28 16:00,136.18
2016-11-28 20:00,136.18
2016-11-29 00:00,136.17
2016-11-29 04:00,136.16
2016-11-29 08:00,136.17
2016-11-29 12:00,136.15
2016-11-29 16:00,136.16
2016-11-29 20:00,136.16
2016-11-30 00:00,136.16
2016-11-30 04:00,136.15
2016-11-30 08:00,136.15
2016-11-30 12:00,136.15
2016-11-30 16:00,136.16
2016-11-30 20:00,136.12
2016-12-01 00:00,136.11
2016-12-01 04:00,136.12
2016-12-01 08:00,136.13
2016-12-01 12:00,136.15
2016-12-01 16:00,136.14
2016-12-01 20:00,136.14
2016-12-02 00:00,136.13
2016-12-02 04:00,136.12
2016-12-02 08:00,136.12
2016-12-02 12:00,136.14
2016-12-02 16:00,136.14
2016-12-02 20:00,136.13
2016-12-03 00:00,136.11
2016-12-03 04:00,136.11
2016-12-03 08:00,136.12
2016-12-03 12:00,136.13
2016-12-03 16:00,136.12
2016-12-03 20:00,136.12
2016-12-04 00:00,136.11
2016-12-04 04:00,136.12
2016-12-04 08:00,136.11
2016-12-04 12:00,136.12
2016-12-04 16:00,136.11
2016-12-04 20:00,136.11
2016-12-05 00:00,136.11
2016-12-05 04:00,136.11
2016-12-05 08:00,136.11
2016-12-05 12:00,136.12
2016-12-05 16:00,136.12
2016-12-05 20:00,136.11
2016-12-06 00:00,136.11
2016-12-06 04:00,136.09
2016-12-06 08:00,136.1
2016-12-06 12:00,136.08
2016-12-06 16:00,136.11
2016-12-06 20:00,136.09
2016-12-07 00:00,136.09
2016-12-07 04:00,136.1
2016-12-07 08:00,136.1
2016-12-07 12:00,136.12
2016-12-07 16:00,136.16
2016-12-07 20:00,136.13
2016-12-08 00:00,136.12
2016-12-08 04:00,136.13
2016-12-08 08:00,136.11
2016-12-08 12:00,136.12
2016-12-08 16:00,136.13
2016-12-08 20:00,136.12
2016-12-09 00:00,136.12
2016-12-09 04:00,136.11
2016-12-09 08:00,136.11
2016-12-09 12:00,136.11
2016-12-09 16:00,136.11
2016-12-09 20:00,136.1
2016-12-10 00:00,136.12
2016-12-10 04:00,136.11
2016-12-10 08:00,136.1
2016-12-10 12:00,136.11
2016-12-10 16:00,136.12
2016-12-10 20:00,136.12
2016-12-11 00:00,136.12
2016-12-11 04:00,136.11
2016-12-11 08:00,136.12
2016-12-11 12:00,136.11
2016-12-11 16:00,136.1
2016-12-11 20:00,136.1
2016-12-12 00:00,136.11
2016-12-12 04:00,136.11
2016-12-12 08:00,136.1
2016-12-12 12:00,136.09
2016-12-12 16:00,136.1
2016-12-12 20:00,136.12
2016-12-13 00:00,136.12
2016-12-13 04:00,136.11
2016-12-13 08:00,136.11
2016-12-13 12:00,136.12
2016-12-13 16:00,136.12
2016-12-13 20:00,136.09
2016-12-14 00:00,136.1
2016-12-14 04:00,136.09
