datetime,head,,
2018-11-15 12:00,134.06,,
2018-12-18 12:00,134.049,,
2019-01-21 12:00,134.049,,
2019-02-27 12:00,134.112,,
2019-03-26 12:00,134.176,,
2019-04-23 12:00,134.099,,
2019-05-28 12:00,134.154,,
2019-06-25 12:00,134.051,,
2019-08-07 12:00,134.219,,
