time,NI15-O1-STG,NI15-O44-STG,NI15-O46-STG,NI15-O47-STG,NI15-O48-STG
0.000000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
30.41666666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
60.83333333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
91.25000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
121.6666666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
152.0833333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
182.5000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
212.9166666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
243.3333333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
273.7500000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
304.1666666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
334.5833333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
365.0000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
395.4166666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
425.8333333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
456.2500000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
486.6666666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
517.0833333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
547.5000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
577.9166666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
608.3333333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
638.7500000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
669.1666666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
699.5833333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
730.0000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
760.4166666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
790.8333333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
821.2500000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
851.6666666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
882.0833333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
912.5000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
942.9166666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
973.3333333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1003.750000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1034.166666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1064.583333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1095.000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1125.416666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1155.833333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1186.250000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1216.666666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1247.083333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1277.500000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1307.916666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1338.333333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1368.750000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1399.166666667,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1429.583333333,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
1460.000000000,136.6988516,136.7077877,135.4404007,135.2026501,134.3440228
