time,GAGE-1,GAGE-2
0.000000000000,12495.80039,13340.93553
30.41666666667,12495.80039,13340.93553
60.83333333333,12495.80039,13340.93553
91.25000000000,12495.80039,13340.93553
121.6666666667,12495.80039,13340.93553
152.0833333333,12495.80039,13340.93553
182.5000000000,12495.80039,13340.93553
212.9166666667,12495.80039,13340.93553
243.3333333333,12495.80039,13340.93553
273.7500000000,12495.80039,13340.93553
304.1666666667,12495.80039,13340.93553
334.5833333333,12495.80039,13340.93553
365.0000000000,12495.80039,13340.93553
395.4166666667,12495.80039,13340.93553
425.8333333333,12495.80039,13340.93553
456.2500000000,12495.80039,13340.93553
486.6666666667,12495.80039,13340.93553
517.0833333333,12495.80039,13340.93553
547.5000000000,12495.80039,13340.93553
577.9166666667,12495.80039,13340.93553
608.3333333333,12495.80039,13340.93553
638.7500000000,12495.80039,13340.93553
669.1666666667,12495.80039,13340.93553
699.5833333333,12495.80039,13340.93553
730.0000000000,12495.80039,13340.93553
760.4166666667,12495.80039,13340.93553
790.8333333333,12495.80039,13340.93553
821.2500000000,12495.80039,13340.93553
851.6666666667,12495.80039,13340.93553
882.0833333333,12495.80039,13340.93553
912.5000000000,12495.80039,13340.93553
942.9166666667,12495.80039,13340.93553
973.3333333333,12495.80039,13340.93553
1003.750000000,12495.80039,13340.93553
1034.166666667,12495.80039,13340.93553
1064.583333333,12495.80039,13340.93553
1095.000000000,12495.80039,13340.93553
1125.416666667,12495.80039,13340.93553
1155.833333333,12495.80039,13340.93553
1186.250000000,12495.80039,13340.93553
1216.666666667,12495.80039,13340.93553
1247.083333333,12495.80039,13340.93553
1277.500000000,12495.80039,13340.93553
1307.916666667,12495.80039,13340.93553
1338.333333333,12495.80039,13340.93553
1368.750000000,12495.80039,13340.93553
1399.166666667,12495.80039,13340.93553
1429.583333333,12495.80039,13340.93553
1460.000000000,12495.80039,13340.93553
