time,B9-2,B10-2,B12-1,B16-1,B2-1,B22-1,B27,B29,KB1-1,KB4-3,NI1301-1,NI1302-1,NI1403-1,NI1405-1,NI1407-1,NI1408-1,NI1409-1,NI1410-1,NI1411-1,NI1412-1,NI1413-1,NI1501-1,NI1502-2,NI1503-2,NI1504-2,NI1505-1,NI1506-1,NI15-O1,NI15-O44,NI15-O46,NI15-O47,NI15-O48,NI1601-1,NI1602-1,NI1603-1,NI1605-1,NI1606-1,NI1607-1,NI1608-1,NI1609-2,NI1610-2,NI1611-1,NI1612-1,NI1613-1,NI1703-1,NI1704-1,NI1705-1,NI1712-1,NI1801-1,NI1802-1,NI1803-1,NI1804-1,B9-4,B10-4,B13-1,B14-1,B15-1,B20-1,B21-1,B2-2,B22-2,B26,B35,B36,B37,B8-1,KB4-4,NI1301-2,NI1302-2,NI1401-1,NI1402-1,NI1404-1,NI1407-2,NI1408-2,NI1409-2,NI1410-2,NI1411-2,NI1413-2,NI1501-2,NI1505-2,NI1506-2,NI1507-2,NI1601-2,NI1604-1,NI1606-2,NI1607-2,NI1608-2,NI1703-2,NI1706-1,NI1709-1,NI1801-3,NI1803-3,NI1804-3,B9-5,B10-5,B16-2,B19-4,B21-3,B22-4,B2-3,B30,B34,B4,B8-2,NI1301-3,NI1302-3,NI1401-2,NI1402-2,NI1403-2,NI1404-2,NI1405-2,NI1406-1,NI1407-3,NI1408-3,NI1409-3,NI1410-3,NI1411-3,NI1412-3,NI1413-3,NI1501-3,NI1502-3,NI1503-3,NI1504-3,NI1505-3,NI1506-3,NI1507-3,NI1601-3,NI1602-2,NI1603-2,NI1604-3,NI1605-3,NI1606-3,NI1607-3,NI1608-3,NI1609-3,NI1612-2,NI1701-1,NI1702-1,NI1704-2,NI1705-2,NI1706-2,NI1707-1,NI1708-1,NI1711-1
1.000000000000,133.6430547,133.9691044,139.2138605,137.4999097,137.1835936,139.0737121,139.3669235,137.3102037,136.9721167,135.1933690,139.3782372,139.2234058,138.3119413,138.4634236,138.7459711,138.7319869,138.7803599,139.1037985,139.2415814,138.1771697,138.1111582,137.4287379,139.5174513,139.6982321,139.5352909,139.2053738,139.2138605,136.7167166,136.6232419,135.5772118,135.2480645,134.2896770,137.1859585,136.1160009,136.1876772,138.4450686,135.6285969,136.7167166,136.7199752,136.7419732,136.7478059,136.8699210,136.5483999,136.1876772,136.7906609,134.7993618,135.0799626,137.1874055,134.7888371,134.7888371,134.9502066,134.9693766,133.6506136,133.9716405,139.4141813,139.4476256,139.8857075,139.2076940,139.2458781,137.2291108,139.0712572,139.5768638,137.9619714,137.9006338,138.1661951,134.2006141,135.1854863,139.4141813,139.2458781,139.0895623,139.2275866,139.4141813,138.7312341,138.7140758,138.7728233,139.1088671,139.2620117,138.1052782,137.4506937,139.2076940,139.2275866,138.8402931,137.2020970,138.0371948,135.6472411,136.8001616,136.7874061,136.8457796,135.1636753,138.8212743,134.8290963,134.9663882,134.9757737,133.6761943,133.9851352,137.5841810,138.4638846,139.2159545,139.0425529,137.3338996,137.3701049,137.8418909,140.7014362,134.2371307,139.4050086,139.2159545,139.0558441,139.2041291,138.3285935,139.4050086,138.4666128,139.2159545,138.7264120,138.7068091,138.7599444,139.0717939,139.2288520,138.1984158,138.1370351,137.5139165,139.5249854,139.7153453,139.5562874,139.1883437,139.2041291,138.8137557,137.2278114,136.2183012,136.3830218,138.0682313,138.4638846,135.7558938,136.8976644,136.8827214,136.9698793,136.6824867,136.8551488,136.7786776,134.9372510,135.1587198,135.2255976,135.0325970,137.8549725,138.2021636
31.41666666667,133.6428775,133.9688546,139.2134337,137.4995824,137.1832860,139.0732816,139.3665001,137.3098689,136.9719585,135.1932555,139.3778110,139.2229760,138.3115810,138.4630341,138.7455407,138.7315586,138.7799261,139.1033629,139.2411498,138.1768208,138.1108239,137.4283808,139.5170502,139.6978346,139.5348803,139.2049508,139.2134337,136.7166659,136.6231998,135.5771517,135.2480244,134.2896271,137.1857324,136.1158997,136.1876179,138.4446980,135.6285031,136.7166659,136.7198795,136.7419231,136.7477486,136.8698264,136.5483115,136.1876179,136.7905799,134.7992601,135.0798492,137.1872209,134.7887431,134.7887431,134.9501041,134.9692808,133.6504385,133.9713977,139.4137708,139.4472120,139.8853258,139.2072830,139.2454626,137.2288121,139.0708388,139.5764603,137.9616441,137.9003220,138.1658570,134.2003496,135.1853769,139.4137708,139.2454626,139.0891422,139.2271731,139.4137708,138.7308162,138.7136597,138.7724027,139.1084455,139.2615945,138.1049540,137.4503493,139.2072830,139.2271731,138.8398822,137.2018761,138.0368688,135.6471469,136.8000544,136.7872832,136.8456627,135.1635848,138.8208837,134.8289992,134.9662864,134.9756774,133.6760191,133.9849069,137.5838835,138.4635439,139.2155695,139.0421661,137.3336143,137.3698003,137.8415921,140.7011898,134.2368761,139.4046284,139.2155695,139.0554551,139.2037462,138.3282613,139.4046284,138.4662569,139.2155695,138.7260275,138.7064264,138.7595568,139.0714027,139.2284645,138.1980932,138.1367237,137.5135991,139.5246242,139.7149885,139.5559183,139.1879627,139.2037462,138.8133766,137.2275885,136.2181774,136.3828867,138.0679191,138.4635439,135.7557784,136.8975058,136.8825597,136.9697141,136.6823446,136.8549822,136.7785128,134.9371353,135.1586002,135.2254868,135.0324813,137.8546863,138.2018533
61.83333333333,133.6300853,133.9508176,139.1824669,137.4758172,137.1609735,139.0420321,139.3357821,137.2855792,136.9605341,135.1850892,139.3468772,139.1917788,138.2853181,138.4346734,138.7142917,138.7004645,138.7484122,139.0717330,139.2098138,138.1514019,138.0864861,137.4024820,139.4879756,139.6690237,139.5051070,139.1742619,139.1824669,136.7130148,136.6201585,135.5727976,135.2451278,134.2860177,137.1693648,136.1086136,136.1833355,138.4176782,135.6217480,136.7130148,136.7130029,136.7383219,136.7436201,136.8630161,136.5419521,136.1833355,136.7847440,134.7919534,135.0716907,137.1739175,134.7820036,134.7820036,134.9427335,134.9623910,133.6377896,133.9538566,139.3839667,139.4171702,139.8576360,139.1774522,139.2152930,137.2071278,139.0404565,139.5471647,137.9378204,137.8776545,138.1412175,134.1812563,135.1774949,139.3839667,139.2152930,139.0586228,139.1971526,139.3839667,138.7004624,138.6834452,138.7418394,139.0778154,139.2312918,138.0813371,137.4253552,139.1774522,139.1971526,138.8100572,137.1858716,138.0131422,135.6403639,136.7923316,136.7784459,136.8372317,135.1570660,138.7924137,134.8220141,134.9589600,134.9687397,133.6633517,133.9683974,137.5622293,138.4386786,139.1875858,139.0140444,137.3128642,137.3476682,137.8198465,140.6833475,134.2184762,139.3769915,139.1875858,139.0271636,139.1759147,138.3040323,139.3769915,138.4403086,139.1875858,138.6980601,138.6785972,138.7313518,139.0429433,139.2002889,138.1745679,138.1140390,137.4905310,139.4984025,139.6890841,139.5291041,139.1602796,139.1759147,138.7858279,137.2114199,136.2092340,136.3731006,138.0451797,138.4386786,135.7474481,136.8860603,136.8709049,136.9578041,136.6720905,136.8429190,136.7665707,134.9287922,135.1499728,135.2174893,135.0241354,137.8338791,138.1792407
92.25000000000,133.6221643,133.9395334,139.1617310,137.4601385,137.1462892,139.0211023,139.3152165,137.2695505,136.9531675,135.1800541,139.3261608,139.1708828,138.2678928,138.4157929,138.6933747,138.6796548,138.7273113,139.0505387,139.1888198,138.1345703,138.0704116,137.3853616,139.4685546,139.6497863,139.4851935,139.1537190,139.1617310,136.7106977,136.6182148,135.5700104,135.2433128,134.2837649,137.1587184,136.1040613,136.1806304,138.3997225,135.6175489,136.7106977,136.7086743,136.7360370,136.7410003,136.8586740,136.5379609,136.1806304,136.7810158,134.7874692,135.0666691,137.1653563,134.7778644,134.7778644,134.9382059,134.9581589,133.6299539,133.9428848,139.3640302,139.3970677,139.8391482,139.1575034,139.1951083,137.1928452,139.0201301,139.5275755,137.9220822,137.8627212,138.1249083,134.1692079,135.1726201,139.3640302,139.1951083,139.0382011,139.1770720,139.3640302,138.6801694,138.6632487,138.7214004,139.0573165,139.2110143,138.0657409,137.4088386,139.1575034,139.1770720,138.7901219,137.1754429,137.9974712,135.6361262,136.7874140,136.7728518,136.8318327,135.1530351,138.7734324,134.8177073,134.9544410,134.9644589,133.6554995,133.9580730,137.5479394,138.4221811,139.1689074,138.9952774,137.2991925,137.3330835,137.8055087,140.6715435,134.2068723,139.3585448,139.1689074,139.0082797,139.1573411,138.2879780,139.3585448,138.4230665,139.1689074,138.6794117,138.6600440,138.7125396,139.0239439,139.1814784,138.1590036,138.0990606,137.4753009,139.4809259,139.6718191,139.5112183,139.1418082,139.1573411,138.7674606,137.2008673,136.2035594,136.3668135,138.0301611,138.4221811,135.7421956,136.8787319,136.8634751,136.9501846,136.6655552,136.8351225,136.7588441,134.9236187,135.1446027,135.2125000,135.0189383,137.8202055,138.1643141
122.6666666667,133.6305370,133.9512643,139.1809970,137.4750630,137.1603213,139.0405386,139.3343306,137.2848012,136.9604181,135.1854166,139.3454034,139.1902873,138.2843779,138.4335325,138.7128192,138.6990068,138.7469169,139.0702067,139.2083061,138.1505366,138.0857168,137.4016062,139.4866776,139.6677347,139.5037311,139.1728185,139.1809970,136.7130401,136.6201700,135.5728054,135.2452022,134.2861510,137.1690615,136.1088025,136.1834105,138.4166681,135.6219625,136.7130401,136.7131038,136.7383418,136.7436438,136.8630185,136.5420760,136.1834105,136.7847415,134.7922859,135.0720333,137.1737859,134.7823054,134.7823054,134.9430592,134.9626961,133.6382304,133.9542939,139.3825834,139.4157624,139.8564028,139.1760814,139.2138879,137.2064776,139.0390431,139.5458148,137.9370465,137.8769711,138.1403856,134.1815558,135.1777866,139.3825834,139.2138879,139.0571964,139.1957627,139.3825834,138.6990748,138.6820707,138.7404320,139.0763786,139.2298734,138.0805909,137.4245212,139.1760814,139.1957627,138.8087077,137.1855479,138.0123817,135.6405442,136.7923524,136.7785228,136.8372057,135.1573094,138.7912258,134.8222989,134.9592536,134.9690152,133.6637854,133.9688120,137.5615400,138.4377737,139.1863536,139.0128133,137.3122380,137.3469970,137.8191737,140.6827050,134.2187756,139.3757729,139.1863536,139.0259186,139.1746954,138.3031811,139.3757729,138.4393118,139.1863536,138.6968626,138.6774115,138.7301350,139.0416851,139.1990410,138.1737734,138.1133146,137.4897858,139.4972913,139.6879812,139.5279406,139.1590736,139.1746954,138.7846560,137.2110723,136.2093170,136.3730646,138.0444451,138.4377737,135.7475865,136.8860294,136.8709257,136.9577782,136.6721198,136.8427815,136.7664266,134.9290788,135.1502345,135.2177132,135.0243851,137.8332902,138.1785278
153.0833333333,133.6364457,133.9596669,139.1961890,137.4865899,137.1711213,139.0558738,139.3493978,137.2965835,136.9658545,135.1891645,139.3605812,139.2055967,138.2971829,138.4473948,138.7281476,138.7142560,138.7623808,139.0857357,139.2236877,138.1629089,138.0975376,137.4141861,139.5009097,139.6818382,139.5183223,139.1878689,139.1961890,136.7147551,136.6216043,135.5748638,135.2465469,134.2878150,137.1769071,136.1121829,136.1854110,138.4298592,135.6250837,136.7147551,136.7163172,136.7400341,136.7455838,136.8662304,136.5450386,136.1854110,136.7874973,134.7956254,135.0757722,137.1801058,134.7853874,134.7853874,134.9464310,134.9658477,133.6440751,133.9624642,139.3971936,139.4304951,139.8699555,139.1906995,139.2286797,137.2169801,139.0539392,139.5601715,137.9486172,137.8879547,138.1523741,134.1905138,135.1814132,139.3971936,139.2286797,139.0721627,139.2104779,139.3971936,138.7139491,138.6968738,138.7554143,139.0914019,139.2447336,138.0920598,137.4366577,139.1906995,139.2104779,138.8233159,137.1932306,138.0239042,135.6436912,136.7959921,136.7826707,136.8411959,135.1603080,138.8051582,134.8255042,134.9626170,134.9722011,133.6696414,133.9765002,137.5720447,138.4498947,139.2000481,139.0265734,137.3222902,137.3577193,137.8297171,140.6913765,134.2274037,139.3892976,139.2000481,139.0397648,139.1883127,138.3149789,139.3892976,138.4519739,139.2000481,138.7105385,138.6910171,138.7439320,139.0556163,139.2128326,138.1852138,138.1243282,137.5009782,139.5101046,139.7006411,139.5410543,139.1726153,139.1883127,138.7981222,137.2188447,136.2135197,136.3777084,138.0554871,138.4498947,135.7514815,136.8914485,136.8764265,136.9634138,136.6769573,136.8485344,136.7721265,134.9329278,135.1542265,135.2214208,135.0282497,137.8433505,138.1895046
183.5000000000,133.6345788,133.9570906,139.1924428,137.4836027,137.1683007,139.0520961,139.3456798,137.2935330,136.9643492,135.1879639,139.3568406,139.2018256,138.2939057,138.4438964,138.7243636,138.7104887,138.7585673,139.0819159,139.2199024,138.1597251,138.0944726,137.4109474,139.4973686,139.6783300,139.5147098,139.1841526,139.1924428,136.7142554,136.6211906,135.5742735,135.2461336,134.2872882,137.1747894,136.1111427,136.1848105,138.4264999,135.6241073,136.7142554,136.7153593,136.7395429,136.7450204,136.8653124,136.5441433,136.1848105,136.7867116,134.7945395,135.0745682,137.1783542,134.7843873,134.7843873,134.9453386,134.9648263,133.6422308,133.9599579,139.3935786,139.4268549,139.8665820,139.1870774,139.2250217,137.2142436,139.0502548,139.5566154,137.9456254,137.8850940,138.1492864,134.1878380,135.1802615,139.3935786,139.2250217,139.0684635,139.2068357,139.3935786,138.7102607,138.6932005,138.7517030,139.0876906,139.2410613,138.0890859,137.4335289,139.1870774,139.2068357,138.8196883,137.1911676,138.0209208,135.6427211,136.7949447,136.7814556,136.8400673,135.1593549,138.8016585,134.8244757,134.9615398,134.9711818,133.6677968,133.9741405,137.5693233,138.4467984,139.1966341,139.0231402,137.3196727,137.3549289,137.8269779,140.6891587,134.2248221,139.3859264,139.1966341,139.0363126,139.1849155,138.3119533,139.3859264,138.4487601,139.1966341,138.7071160,138.6876100,138.7404825,139.0521451,139.2093971,138.1822675,138.1214755,137.4980833,139.5068935,139.6974703,139.5377783,139.1692344,139.1849155,138.7947495,137.2167658,136.2122872,136.3763977,138.0526304,138.4467984,135.7503147,136.8899140,136.8748479,136.9618154,136.6755648,136.8469476,136.7705576,134.9317148,135.1529827,135.2202732,135.0270471,137.8407154,138.1866578
213.9166666667,133.6443642,133.9708719,139.2159515,137.5016716,137.1852709,139.0758183,139.3690003,137.3120011,136.9730688,135.1942188,139.3803237,139.2255081,138.3138413,138.4654240,138.7480862,138.7340946,138.7824887,139.1059242,139.2436891,138.1790281,138.1129630,137.4306349,139.5194482,139.7002097,139.5373166,139.2074516,139.2159515,136.7170469,136.6235122,135.5775950,135.2483480,134.2900464,137.1872646,136.1167162,136.1880818,138.4470053,135.6292763,136.7170469,136.7206197,136.7422972,136.7481777,136.8705191,136.5490080,136.1880818,136.7911710,134.8001397,135.0808183,137.1885177,134.7895536,134.7895536,134.9509867,134.9701057,133.6519062,133.9733608,139.4162070,139.4496620,139.8876108,139.2097273,139.2479268,137.2307341,139.0733211,139.5788590,137.9637302,137.9023305,138.1679997,134.2024133,135.1862965,139.4162070,139.2479268,139.0916328,139.2296285,139.4162070,138.7333066,138.7161415,138.7749058,139.1109429,139.2640666,138.1070300,137.4525292,139.2097273,139.2296285,138.8423349,137.2033629,138.0389505,135.6479087,136.8008471,136.7882128,136.8465076,135.1643461,138.8232644,134.8298261,134.9671510,134.9764948,133.6774856,133.9867557,137.5857861,138.4656786,139.2178848,139.0444958,137.3354518,137.3717587,137.8435113,140.7027265,134.2388692,139.4069142,139.2178848,139.0577961,139.2060515,138.3303547,139.4069142,138.4684634,139.2178848,138.7283557,138.7087456,138.7619008,139.0737551,139.2307925,138.2001397,138.1387155,137.5156212,139.5268118,139.7171475,139.5581439,139.1902586,139.2060515,138.8156731,137.2290815,136.2191179,136.3838625,138.0699122,138.4656786,135.7566797,136.8986547,136.8837519,136.9709128,136.6833970,136.8561475,136.7796626,134.9380999,135.1595831,135.2263900,135.0334309,137.8565475,138.2038424
244.3333333333,133.6411853,133.9664771,139.2093941,137.4964717,137.1803628,139.0692059,139.3624925,137.3066893,136.9704497,135.1921661,139.3737757,139.2189069,138.3081561,138.4593360,138.7414649,138.7275026,138.7758167,139.0992386,139.2370630,138.1735029,138.1076440,137.4249925,139.5132539,139.6940724,139.5309943,139.2009469,139.2093941,136.7161818,136.6227977,135.5765765,135.2476396,134.2891479,137.1835777,136.1149317,136.1870503,138.4411763,135.6276048,136.7161818,136.7189672,136.7414454,136.7472009,136.8689238,136.5474672,136.1870503,136.7898071,134.7982839,135.0787604,137.1854611,134.7878427,134.7878427,134.9491196,134.9683605,133.6487655,133.9690853,139.4098816,139.4432926,139.8817096,139.2033901,139.2415263,137.2259720,139.0668751,139.5726368,137.9585293,137.8973546,138.1626399,134.1978398,135.1843265,139.4098816,139.2415263,139.0851609,139.2232558,139.4098816,138.7268560,138.7097173,138.7684160,139.1044502,139.2576412,138.1018676,137.4470789,139.2033901,139.2232558,138.8359899,137.1997707,138.0337673,135.6462464,136.7990320,136.7861125,136.8445476,135.1627160,138.8171728,134.8280679,134.9653096,134.9747525,133.6743439,133.9827300,137.5810494,138.4602989,139.2119161,139.0384948,137.3308969,137.3669021,137.8387460,140.6988519,134.2344566,139.4010199,139.2119161,139.0517620,139.2001123,138.3250978,139.4010199,138.4628704,139.2119161,138.7223760,138.7027926,138.7558750,139.0676881,139.2247864,138.1950195,138.1337576,137.5105798,139.5211981,139.7116038,139.5524159,139.1843478,139.2001123,138.8097788,137.2254635,136.2169944,136.3815958,138.0649457,138.4602989,135.7546755,136.8959937,136.8810192,136.9681402,136.6809890,136.8533923,136.7769397,134.9360259,135.1574538,135.2244250,135.0313737,137.8519585,138.1988969
274.7500000000,133.6308193,133.9518378,139.1840551,137.4770642,137.1621482,139.0436340,139.3373581,137.2868528,136.9611503,135.1855623,139.3484634,139.1933781,138.2866912,138.4361456,138.7158952,138.7020605,138.7500287,139.0733536,139.2114195,138.1527337,138.0877652,137.4038365,139.4894729,139.6705072,139.5066367,139.1758368,139.1840551,136.7132164,136.6203263,135.5730373,135.2452927,134.2862270,137.1702381,136.1090275,136.1835764,138.4190879,135.6221349,136.7132164,136.7133866,136.7385202,136.7438475,136.8633884,136.5423097,136.1835764,136.7850630,134.7923799,135.0721646,137.1746339,134.7823967,134.7823967,134.9431629,134.9627925,133.6385149,133.9548490,139.3854976,139.4187125,139.8590621,139.1789856,139.2168424,137.2082683,139.0420170,139.5486702,137.9390700,137.8788466,138.1425088,134.1823228,135.1779496,139.3854976,139.2168424,139.0601899,139.1986950,139.3854976,138.7020232,138.6849993,138.7434104,139.0793878,139.2328475,138.0825782,137.4266634,139.1789856,139.1986950,138.8115918,137.1867236,138.0143878,135.6407496,136.7927554,136.7789347,136.8376907,135.1574423,138.7938886,134.8224192,134.9593845,134.9691414,133.6640775,133.9693317,137.5633655,138.4399767,139.1890284,139.0154946,137.3139554,137.3488318,137.8209890,140.6842771,134.2195049,139.3784160,139.1890284,139.0286221,139.1773498,138.3052992,139.3784160,138.4416588,139.1890284,138.6995044,138.6800347,138.7328078,139.0444101,139.2017408,138.1758001,138.1152299,137.4917403,139.4997572,139.6904220,139.5304875,139.1617075,139.1773498,138.7872510,137.2122794,136.2097304,136.3736343,138.0463727,138.4399767,135.7479153,136.8866838,136.8715435,136.9584530,136.6726538,136.8435691,136.7672140,134.9292715,135.1504659,135.2179449,135.0246119,137.8349754,138.1804287
