time,NI15-O44-STG,NI15-O46-STG,NI15-O47-STG,NI15-O48-STG,GAGE-1
1.000000000000,136.6300000,135.3200000,135.0600000,134.1880908,1130.573541
31.41666666667,136.6300000,135.3200000,135.0600000,134.1880893,1130.497496
61.83333333333,136.6300000,135.3200000,135.0600000,134.1880888,1130.471743
92.25000000000,136.6300000,135.3200000,135.0600000,134.1880886,1130.462393
122.6666666667,136.6300000,135.3200000,135.0600000,134.1880886,1130.459027
153.0833333333,136.6300000,135.3200000,135.0600000,134.1880885,1130.454956
183.5000000000,136.6300000,135.3200000,135.0600000,134.1880885,1130.454837
213.9166666667,136.6300000,135.3200000,135.0600000,134.1880885,1130.454669
244.3333333333,136.6300000,135.3200000,135.0600000,134.1880885,1130.454555
274.7500000000,136.6300000,135.3200000,135.0600000,134.1880885,1130.454297
305.1666666667,136.6300000,135.3200000,135.0600000,134.1880885,1130.453639
335.5833333333,136.6300000,135.3200000,135.0600000,134.1880885,1130.453498
366.0000000000,136.6300000,135.3200000,135.0600000,134.1880885,1130.453324
396.4166666667,136.6300000,135.3200000,135.0600000,134.1880885,1130.453079
426.8333333333,136.6300000,135.3200000,135.0600000,134.1880885,1130.452889
457.2500000000,136.6300000,135.3200000,135.0600000,134.1880885,1130.452796
487.6666666667,136.6300000,135.3200000,135.0600000,134.1880885,1130.452743
518.0833333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.452615
548.5000000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.452331
578.9166666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.452250
609.3333333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.452172
639.7500000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.452095
670.1666666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.452028
700.5833333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451981
731.0000000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451943
761.4166666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451894
791.8333333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451825
822.2500000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451769
852.6666666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451749
883.0833333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451726
913.5000000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451705
943.9166666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451685
974.3333333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451666
1004.750000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451649
1035.166666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451632
1065.583333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451615
1096.000000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451578
1126.416666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451485
1156.833333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451456
1187.250000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451435
1217.666666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451422
1248.083333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451406
1278.500000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451393
1308.916666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451379
1339.333333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451364
1369.750000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451348
1400.166666667,136.6300000,135.3200000,135.0600000,134.1880884,1130.451332
1430.583333333,136.6300000,135.3200000,135.0600000,134.1880884,1130.451316
1461.000000000,136.6300000,135.3200000,135.0600000,134.1880884,1130.451306
