time,NI15-O44-STG,NI15-O46-STG,NI15-O47-STG,NI15-O48-STG,GAGE-1
1.000000000000,136.6531344,135.3774912,135.1368144,134.2652960,5019.095255
31.41666666667,136.6531341,135.3774909,135.1368141,134.2652951,5018.993154
61.83333333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.990479
92.25000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.990351
122.6666666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.990249
153.0833333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.990158
183.5000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.990079
213.9166666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.990010
244.3333333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989947
274.7500000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989884
305.1666666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989795
335.5833333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989695
366.0000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989674
396.4166666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989655
426.8333333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989626
457.2500000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989621
487.6666666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989617
518.0833333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989613
548.5000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989608
578.9166666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989607
609.3333333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989606
639.7500000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989606
670.1666666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989605
700.5833333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989605
731.0000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989605
761.4166666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989604
791.8333333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989604
822.2500000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989604
852.6666666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989604
883.0833333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989604
913.5000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
943.9166666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
974.3333333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1004.750000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1035.166666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1065.583333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1096.000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1126.416666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1156.833333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1187.250000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1217.666666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1248.083333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1278.500000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1308.916666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1339.333333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1369.750000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1400.166666667,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1430.583333333,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
1461.000000000,136.6531341,135.3774909,135.1368141,134.2652950,5018.989603
