426924.228	6654927.297	r1s1
426927.764	6654930.833	r2s1
426931.299	6654927.297	r3s1
426934.835	6654930.833	r4s1
426938.370	6654927.297	r5s1
426941.906	6654930.833	r6s1
426945.442	6654927.297	r7s1
426948.977	6654930.833	r8s1
426952.513	6654927.297	r9s1
426956.048	6654930.833	r10s1
426959.584	6654934.368	r11s1
426963.119	6654930.833	r12s1
426966.655	6654934.368	r13s1
426970.190	6654930.833	r14s1
426973.726	6654934.368	r15s1
426977.261	6654930.833	r16s1
426980.797	6654934.368	r17s1
426984.332	6654930.833	r18s1
426987.868	6654934.368	r19s1
426991.404	6654930.833	r20s1
426994.939	6654934.368	r21s1
426998.475	6654930.833	r22s1
427002.010	6654934.368	r23s1
427005.546	6654930.833	r24s1
427009.081	6654934.368	r25s1
427012.617	6654930.833	r26s1
427016.152	6654934.368	r27s1
427019.688	6654930.833	r28s1
427023.223	6654934.368	r29s1
427026.759	6654930.833	r30s1
427030.294	6654934.368	r31s1
427033.830	6654937.904	r32s1
427037.365	6654934.368	r33s1
427040.901	6654937.904	r34s1
427044.437	6654941.439	r35s1
427047.972	6654944.975	r36s1
427051.508	6654948.510	r37s1
427055.043	6654944.975	r38s1
427058.579	6654948.510	r39s1
427062.114	6654944.975	r40s1
427065.650	6654948.510	r41s1
427069.185	6654952.046	r42s1
427072.721	6654948.510	r43s1
427076.256	6654952.046	r44s1
427079.792	6654955.581	r45s1
427083.327	6654959.117	r46s1
427086.863	6654955.581	r47s1
427090.398	6654952.046	r48s1
427093.934	6654948.510	r49s1
427097.470	6654952.046	r50s1
427101.005	6654955.581	r51s1
427104.541	6654952.046	r52s1
427108.076	6654948.510	r53s1
427111.612	6654952.046	r54s1
427115.147	6654948.510	r55s1
427118.683	6654952.046	r56s1
427122.218	6654948.510	r57s1
427125.754	6654952.046	r58s1
427129.289	6654948.510	r59s1
427132.825	6654952.046	r60s1
427136.360	6654948.510	r61s1
427139.896	6654944.975	r62s1
427143.431	6654948.510	r63s1
427146.967	6654944.975	r64s1
427150.503	6654948.510	r65s1
427154.038	6654944.975	r66s1
427157.574	6654948.510	r67s1
427161.109	6654944.975	r68s1
427164.645	6654948.510	r69s1
427168.180	6654944.975	r70s1
427171.716	6654948.510	r71s1
427175.251	6654944.975	r72s1
427178.787	6654941.439	r73s1
427182.322	6654937.904	r74s1
427185.858	6654941.439	r75s1
427189.393	6654937.904	r76s1
427192.929	6654934.368	r77s1
427196.464	6654937.904	r78s1
427200.000	6654934.368	r79s1
427203.536	6654930.833	r80s1
427207.071	6654927.297	r81s1
427210.607	6654923.762	r82s1
427214.142	6654920.226	r83s1
427217.678	6654916.690	r84s1
427214.142	6654913.155	r85s1
427217.678	6654909.619	r86s1
427221.213	6654906.084	r87s1
427224.749	6654909.619	r88s1
427228.284	6654913.155	r89s1
427231.820	6654909.619	r90s1
427235.355	6654913.155	r91s1
427238.891	6654916.690	r92s1
427242.426	6654913.155	r93s1
427245.962	6654916.690	r94s1
427249.497	6654920.226	r95s1
427253.033	6654916.690	r96s1
427256.569	6654920.226	r97s1
427260.104	6654923.762	r98s1
427263.640	6654927.297	r99s1
427267.175	6654930.833	r100s1
427270.711	6654934.368	r101s1
427274.246	6654937.904	r102s1
427277.782	6654941.439	r103s1
427281.317	6654944.975	r104s1
427284.853	6654948.510	r105s1
427288.388	6654952.046	r106s1
427291.924	6654955.581	r107s1
427288.388	6654959.117	r108s1
427291.924	6654962.652	r109s1
427295.459	6654966.188	r110s1
427298.995	6654962.652	r111s1
427302.530	6654966.188	r112s1
427306.066	6654969.723	r113s1
427309.602	6654973.259	r114s1
427306.066	6654976.795	r115s1
427302.530	6654980.330	r116s1
427298.995	6654983.866	r117s1
427302.530	6654987.401	r118s1
427298.995	6654990.937	r119s1
427302.530	6654994.472	r120s1
427306.066	6654998.008	r121s1
427309.602	6655001.543	r122s1
427313.137	6654998.008	r123s1
427316.673	6655001.543	r124s1
427320.208	6654998.008	r125s1
427323.744	6654994.472	r126s1
427320.208	6654990.937	r127s1
427316.673	6654987.401	r128s1
427313.137	6654983.866	r129s1
427316.673	6654980.330	r130s1
427320.208	6654976.795	r131s1
427323.744	6654980.330	r132s1
427327.279	6654976.795	r133s1
427330.815	6654980.330	r134s1
427334.350	6654983.866	r135s1
427337.886	6654987.401	r136s1
427341.421	6654990.937	r137s1
427344.957	6654987.401	r138s1
427348.492	6654983.866	r139s1
427344.957	6654980.330	r140s1
427348.492	6654976.795	r141s1
427344.957	6654973.259	r142s1
427341.421	6654969.723	r143s1
427344.957	6654966.188	r144s1
427341.421	6654962.652	r145s1
427344.957	6654959.117	r146s1
427348.492	6654962.652	r147s1
427352.028	6654959.117	r148s1
427355.563	6654962.652	r149s1
427359.099	6654959.117	r150s1
427362.635	6654955.581	r151s1
427366.170	6654959.117	r152s1
427369.706	6654955.581	r153s1
427373.241	6654952.046	r154s1
427376.777	6654948.510	r155s1
427380.312	6654944.975	r156s1
427383.848	6654941.439	r157s1
427387.383	6654937.904	r158s1
427390.919	6654934.368	r159s1
427387.383	6654930.833	r160s1
427390.919	6654927.297	r161s1
427394.454	6654923.762	r162s1
427390.919	6654920.226	r163s1
427387.383	6654916.690	r164s1
427390.919	6654913.155	r165s1
427394.454	6654909.619	r166s1
427397.990	6654906.084	r167s1
427401.525	6654909.619	r168s1
427405.061	6654906.084	r169s1
427408.597	6654902.548	r170s1
427412.132	6654906.084	r171s1
427415.668	6654902.548	r172s1
427419.203	6654899.013	r173s1
427422.739	6654902.548	r174s1
427426.274	6654899.013	r175s1
427429.810	6654902.548	r176s1
427433.345	6654899.013	r177s1
427436.881	6654902.548	r178s1
427440.416	6654899.013	r179s1
427443.952	6654902.548	r180s1
427447.487	6654899.013	r181s1
427451.023	6654902.548	r182s1
427454.558	6654899.013	r183s1
427458.094	6654902.548	r184s1
427461.630	6654906.084	r185s1
427465.165	6654909.619	r186s1
427468.701	6654913.155	r187s1
427472.236	6654916.690	r188s1
427468.701	6654920.226	r189s1
427472.236	6654923.762	r190s1
427475.772	6654927.297	r191s1
427479.307	6654930.833	r192s1
427475.772	6654934.368	r193s1
427479.307	6654937.904	r194s1
427482.843	6654941.439	r195s1
427479.307	6654944.975	r196s1
427482.843	6654948.510	r197s1
