name,x,y,zone,kh,kv
ppcond0564,427490,6654950,1,86.4,8.64
ppcond0565,427430.0982,6654999.582,1,86.4,8.64
ppcond0566,427484.7612,6654969.206,1,86.4,8.64
ppcond0567,427484.0733,6654979.577,1,86.4,8.64
ppcond0568,427490,6654990,1,86.4,8.64
ppcond0569,427483.65,6655001.058,1,86.4,8.64
ppcond0570,427490,6655010,1,86.4,8.64
ppcond0571,427490,6655020,1,86.4,8.64
ppcond0572,427490,6655030,1,86.4,8.64
ppcond0573,427490,6655040,1,86.4,8.64
ppcond0574,427500,6654950,1,86.4,8.64
ppcond0575,427500,6654960,1,86.4,8.64
ppcond0576,427500,6654970,1,86.4,8.64
ppcond0577,427500,6654980,1,86.4,8.64
ppcond0578,427500,6654990,1,86.4,8.64
ppcond0579,427500,6655000,1,86.4,8.64
ppcond0580,427500,6655010,1,86.4,8.64
ppcond0581,427500,6655020,1,86.4,8.64
ppcond0582,427500,6655030,1,86.4,8.64
ppcond0583,427500,6655040,1,86.4,8.64
ppcond0584,427500,6655050,1,86.4,8.64
ppcond0585,427402.9903,6654914.955,1,86.4,8.64
ppcond0586,427510,6654960,1,86.4,8.64
ppcond0587,427429.3019,6654921.449,1,86.4,8.64
ppcond0588,427510,6654980,1,86.4,8.64
ppcond0589,427510,6654990,1,86.4,8.64
ppcond0590,427510,6655020,1,86.4,8.64
ppcond0591,427510,6655040,1,86.4,8.64
ppcond0592,427510,6655050,1,86.4,8.64
ppcond0593,427510,6655060,1,86.4,8.64
ppcond0594,427400.7666,6654917.904,1,86.4,8.64
ppcond0595,427510,6655080,1,86.4,8.64
ppcond0596,427520,6655040,1,86.4,8.64
ppcond0597,427520,6655050,1,86.4,8.64
ppcond0598,427520,6655060,1,86.4,8.64
ppcond0599,427520,6655070,1,86.4,8.64
ppcond0600,427520,6655080,1,86.4,8.64
ppcond0601,427520,6655090,1,86.4,8.64
ppcond0602,427530,6655060,1,86.4,8.64
ppcond0603,427394.6984,6654917.104,1,86.4,8.64
ppcond0604,427530,6655080,1,86.4,8.64
ppcond0605,427530,6655090,1,86.4,8.64
ppcond0606,427530,6655100,1,86.4,8.64
ppcond0607,427540,6655090,1,86.4,8.64
ppcond0608,427220.1181,6654990.198,1,86.4,8.64
ppcond0609,427540,6655110,1,86.4,8.64
ppcond0610,427550,6655090,1,86.4,8.64
ppcond0611,427550,6655100,1,86.4,8.64
ppcond0612,427550,6655110,1,86.4,8.64
ppcond0613,427560,6655100,1,86.4,8.64
ppcond0614,427560,6655110,1,86.4,8.64
ppcond0615,427450.4623,6655131.007,1,86.4,8.64
ppcond0616,427358.7166,6654950.986,1,86.4,8.64
ppcond0617,427570,6655110,1,86.4,8.64
ppcond0618,427570,6655120,1,86.4,8.64
ppcond0619,427398.3115,6654959.978,1,86.4,8.64
ppcond0620,427580,6655110,1,86.4,8.64
ppcond0621,427580,6655130,1,86.4,8.64
ppcond0622,427590,6655120,1,86.4,8.64
ppcond0623,427600,6655110,1,86.4,8.64
ppcond0624,427600,6655130,1,86.4,8.64
ppcond0625,427410.7432,6654938.943,1,86.4,8.64
ppcond0626,427610,6655120,1,86.4,8.64
ppcond0627,427610,6655140,1,86.4,8.64
ppcond0628,427620,6655120,1,86.4,8.64
ppcond0629,427620,6655130,1,86.4,8.64
