 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP0354         427518.198    6655171.250       1  0.0     1.0             36.594   1.0       0.0
 PP0355         427553.553    6655206.600       1  0.0     1.0             50.314   1.0       0.0
 PP0356         427093.934    6654732.840       1  0.0     1.0             36.164   1.0       0.0
 PP0357         427129.289    6654768.200       1  0.0     1.0             36.164   1.0       0.0
 PP0358         427164.645    6654803.550       1  0.0     1.0             36.164   1.0       0.0
 PP0359         427200.000    6654838.910       1  0.0     1.0             36.162   1.0       0.0
 PP0360         427235.355    6654874.260       1  0.0     1.0             33.897   1.0       0.0
 PP0361         427270.711    6654909.620       1  0.0     1.0             29.794   1.0       0.0
 PP0362         427306.066    6654944.970       1  0.0     1.0             29.628   1.0       0.0
 PP0363         427337.886    6654980.330       1  0.0     1.0             17.896   1.0       0.0
 PP0364         427348.492    6654990.940       1  0.0     1.0             22.650   1.0       0.0
 PP0365         427369.706    6655008.610       1  0.0     1.0             34.672   1.0       0.0
 PP0366         427405.061    6655043.970       1  0.0     1.0             37.324   1.0       0.0
 PP0367         427440.416    6655079.330       1  0.0     1.0             37.326   1.0       0.0
 PP0368         427475.772    6655114.680       1  0.0     1.0             37.323   1.0       0.0
 PP0369         427511.127    6655150.040       1  0.0     1.0             37.326   1.0       0.0
 PP0370         427546.482    6655185.390       1  0.0     1.0             38.293   1.0       0.0
 PP0371         427093.934    6654718.700       1  0.0     1.0             37.339   1.0       0.0
 PP0372         427129.289    6654754.060       1  0.0     1.0             36.288   1.0       0.0
 PP0373         427164.645    6654789.410       1  0.0     1.0             36.286   1.0       0.0
 PP0374         427200.000    6654824.770       1  0.0     1.0             36.286   1.0       0.0
 PP0375         427235.355    6654860.120       1  0.0     1.0             35.886   1.0       0.0
 PP0376         427270.711    6654895.480       1  0.0     1.0             32.745   1.0       0.0
 PP0377         427306.066    6654930.830       1  0.0     1.0             32.544   1.0       0.0
 PP0378         427337.886    6654966.190       1  0.0     1.0             23.095   1.0       0.0
 PP0379         427348.492    6654976.790       1  0.0     1.0             20.420   1.0       0.0
 PP0380         427369.706    6654994.470       1  0.0     1.0             30.165   1.0       0.0
 PP0381         427405.061    6655029.830       1  0.0     1.0             36.118   1.0       0.0
 PP0382         427440.416    6655065.180       1  0.0     1.0             36.119   1.0       0.0
 PP0383         427475.772    6655100.540       1  0.0     1.0             36.117   1.0       0.0
 PP0384         427511.127    6655135.890       1  0.0     1.0             36.119   1.0       0.0
 PP0385         427546.482    6655171.250       1  0.0     1.0             36.117   1.0       0.0
 PP0386         427101.005    6654711.630       1  0.0     1.0             39.302   1.0       0.0
 PP0387         427136.360    6654746.980       1  0.0     1.0             36.172   1.0       0.0
 PP0388         427171.716    6654782.340       1  0.0     1.0             36.172   1.0       0.0
 PP0389         427207.071    6654817.700       1  0.0     1.0             36.172   1.0       0.0
 PP0390         427242.426    6654853.050       1  0.0     1.0             36.171   1.0       0.0
 PP0391         427277.782    6654888.410       1  0.0     1.0             35.533   1.0       0.0
 PP0392         427313.137    6654923.760       1  0.0     1.0             35.533   1.0       0.0
 PP0393         427344.957    6654959.120       1  0.0     1.0             26.742   1.0       0.0
 PP0394         427355.563    6654969.720       1  0.0     1.0             23.006   1.0       0.0
 PP0395         427376.777    6654987.400       1  0.0     1.0             30.136   1.0       0.0
 PP0396         427412.132    6655022.760       1  0.0     1.0             36.962   1.0       0.0
 PP0397         427447.487    6655058.110       1  0.0     1.0             36.963   1.0       0.0
 PP0398         427482.843    6655093.470       1  0.0     1.0             36.338   1.0       0.0
 PP0399         427518.198    6655128.820       1  0.0     1.0             35.483   1.0       0.0
 PP0400         427553.553    6655164.180       1  0.0     1.0             36.814   1.0       0.0
 PP0401         427115.147    6654711.630       1  0.0     1.0             38.635   1.0       0.0
 PP0402         427150.503    6654746.980       1  0.0     1.0             36.543   1.0       0.0
 PP0403         427185.858    6654782.340       1  0.0     1.0             36.544   1.0       0.0
 PP0404         427221.213    6654817.700       1  0.0     1.0             36.544   1.0       0.0
 PP0405         427256.569    6654853.050       1  0.0     1.0             36.542   1.0       0.0
 PP0406         427291.924    6654888.410       1  0.0     1.0             36.543   1.0       0.0
 PP0407         427327.279    6654923.760       1  0.0     1.0             36.220   1.0       0.0
 PP0408         427359.099    6654959.120       1  0.0     1.0             25.275   1.0       0.0
 PP0409         427376.777    6654973.260       1  0.0     1.0             26.799   1.0       0.0
 PP0410         427412.132    6655008.610       1  0.0     1.0             36.852   1.0       0.0
 PP0411         427447.487    6655043.970       1  0.0     1.0             36.852   1.0       0.0
 PP0412         427482.843    6655079.330       1  0.0     1.0             36.043   1.0       0.0
 PP0413         427518.198    6655114.680       1  0.0     1.0             33.686   1.0       0.0
 PP0414         427553.553    6655150.040       1  0.0     1.0             34.749   1.0       0.0
 PP0415         427122.218    6654704.560       1  0.0     1.0             41.867   1.0       0.0
 PP0416         427157.574    6654739.910       1  0.0     1.0             35.585   1.0       0.0
 PP0417         427192.929    6654775.270       1  0.0     1.0             35.587   1.0       0.0
 PP0418         427228.284    6654810.620       1  0.0     1.0             35.587   1.0       0.0
 PP0419         427263.640    6654845.980       1  0.0     1.0             35.585   1.0       0.0
 PP0420         427298.995    6654881.340       1  0.0     1.0             35.587   1.0       0.0
 PP0421         427334.350    6654916.690       1  0.0     1.0             35.584   1.0       0.0
 PP0422         427366.170    6654952.050       1  0.0     1.0             27.185   1.0       0.0
 PP0423         427383.848    6654966.190       1  0.0     1.0             28.101   1.0       0.0
 PP0424         427419.203    6655001.540       1  0.0     1.0             36.570   1.0       0.0
 PP0425         427454.558    6655036.900       1  0.0     1.0             36.127   1.0       0.0
 PP0426         427489.914    6655072.250       1  0.0     1.0             32.104   1.0       0.0
 PP0427         427525.269    6655107.610       1  0.0     1.0             29.449   1.0       0.0
 PP0428         427560.624    6655142.960       1  0.0     1.0             30.459   1.0       0.0
 PP0429         427136.360    6654704.560       1  0.0     1.0             42.486   1.0       0.0
 PP0430         427171.716    6654739.910       1  0.0     1.0             36.544   1.0       0.0
 PP0431         427207.071    6654775.270       1  0.0     1.0             36.545   1.0       0.0
 PP0432         427242.426    6654810.620       1  0.0     1.0             36.546   1.0       0.0
 PP0433         427277.782    6654845.980       1  0.0     1.0             36.544   1.0       0.0
 PP0434         427313.137    6654881.340       1  0.0     1.0             36.545   1.0       0.0
 PP0435         427348.492    6654916.690       1  0.0     1.0             36.357   1.0       0.0
 PP0436         427376.777    6654948.510       1  0.0     1.0             26.809   1.0       0.0
 PP0437         427397.990    6654966.190       1  0.0     1.0             33.829   1.0       0.0
 PP0438         427433.345    6655001.540       1  0.0     1.0             36.254   1.0       0.0
 PP0439         427468.701    6655036.900       1  0.0     1.0             33.628   1.0       0.0
 PP0440         427504.056    6655072.250       1  0.0     1.0             28.966   1.0       0.0
 PP0441         427539.411    6655107.610       1  0.0     1.0             26.831   1.0       0.0
 PP0442         427574.767    6655142.960       1  0.0     1.0             28.932   1.0       0.0
 PP0443         427157.574    6654711.630       1  0.0     1.0             40.586   1.0       0.0
 PP0444         427192.929    6654746.980       1  0.0     1.0             36.492   1.0       0.0
 PP0445         427228.284    6654782.340       1  0.0     1.0             36.490   1.0       0.0
 PP0446         427263.640    6654817.700       1  0.0     1.0             36.491   1.0       0.0
 PP0447         427298.995    6654853.050       1  0.0     1.0             36.491   1.0       0.0
 PP0448         427334.350    6654888.410       1  0.0     1.0             36.490   1.0       0.0
 PP0449         427369.706    6654923.760       1  0.0     1.0             31.059   1.0       0.0
 PP0450         427387.383    6654937.900       1  0.0     1.0             26.358   1.0       0.0
 PP0451         427419.203    6654973.260       1  0.0     1.0             35.969   1.0       0.0
 PP0452         427454.558    6655008.610       1  0.0     1.0             35.231   1.0       0.0
 PP0453         427489.914    6655043.970       1  0.0     1.0             28.800   1.0       0.0
 PP0454         427518.198    6655075.790       1  0.0     1.0             26.659   1.0       0.0
 PP0455         427525.269    6655075.790       1  0.0     1.0             25.022   1.0       0.0
 PP0456         427535.876    6655086.400       1  0.0     1.0             25.379   1.0       0.0
 PP0457         427542.947    6655100.540       1  0.0     1.0             25.706   1.0       0.0
 PP0458         427553.553    6655111.140       1  0.0     1.0             25.514   1.0       0.0
 PP0459         427560.624    6655111.140       1  0.0     1.0             23.299   1.0       0.0
 PP0460         427571.231    6655121.750       1  0.0     1.0             21.718   1.0       0.0
 PP0461         427581.838    6655135.890       1  0.0     1.0             25.464   1.0       0.0
 PP0462         427171.716    6654711.630       1  0.0     1.0             41.482   1.0       0.0
 PP0463         427207.071    6654746.980       1  0.0     1.0             36.598   1.0       0.0
 PP0464         427242.426    6654782.340       1  0.0     1.0             36.595   1.0       0.0
 PP0465         427277.782    6654817.700       1  0.0     1.0             36.596   1.0       0.0
 PP0466         427313.137    6654853.050       1  0.0     1.0             36.597   1.0       0.0
 PP0467         427348.492    6654888.410       1  0.0     1.0             36.595   1.0       0.0
 PP0468         427383.848    6654923.760       1  0.0     1.0             25.658   1.0       0.0
 PP0469         427397.990    6654937.900       1  0.0     1.0             29.026   1.0       0.0
 PP0470         427433.345    6654973.260       1  0.0     1.0             36.228   1.0       0.0
 PP0471         427468.701    6655008.610       1  0.0     1.0             31.088   1.0       0.0
 PP0472         427496.985    6655040.430       1  0.0     1.0             26.012   1.0       0.0
 PP0473         427504.056    6655040.430       1  0.0     1.0             25.365   1.0       0.0
 PP0474         427514.663    6655051.040       1  0.0     1.0             26.369   1.0       0.0
 PP0475         427521.734    6655065.180       1  0.0     1.0             25.722   1.0       0.0
 PP0476         427539.411    6655079.330       1  0.0     1.0             26.155   1.0       0.0
 PP0477         427567.696    6655111.140       1  0.0     1.0             22.119   1.0       0.0
 PP0478         427574.767    6655111.140       1  0.0     1.0             22.095   1.0       0.0
 PP0479         427585.373    6655121.750       1  0.0     1.0             21.910   1.0       0.0
 PP0480         427595.980    6655135.890       1  0.0     1.0             25.775   1.0       0.0
 PP0481         427192.929    6654718.700       1  0.0     1.0             37.622   1.0       0.0
 PP0482         427228.284    6654754.060       1  0.0     1.0             35.420   1.0       0.0
 PP0483         427263.640    6654789.410       1  0.0     1.0             35.420   1.0       0.0
 PP0484         427298.995    6654824.770       1  0.0     1.0             35.419   1.0       0.0
 PP0485         427334.350    6654860.120       1  0.0     1.0             35.421   1.0       0.0
 PP0486         427369.706    6654895.480       1  0.0     1.0             33.721   1.0       0.0
 PP0487         427390.919    6654913.150       1  0.0     1.0             24.000   1.0       0.0
 PP0488         427401.525    6654923.760       1  0.0     1.0             24.733   1.0       0.0
 PP0489         427433.345    6654959.120       1  0.0     1.0             36.471   1.0       0.0
 PP0490         427468.701    6654994.470       1  0.0     1.0             30.216   1.0       0.0
 PP0491         427489.914    6655012.150       1  0.0     1.0             27.287   1.0       0.0
 PP0492         427500.520    6655022.760       1  0.0     1.0             25.539   1.0       0.0
 PP0493         427511.127    6655036.900       1  0.0     1.0             25.948   1.0       0.0
 PP0494         427546.482    6655072.250       1  0.0     1.0             29.322   1.0       0.0
 PP0495         427581.838    6655107.610       1  0.0     1.0             24.045   1.0       0.0
 PP0496         427599.515    6655121.750       1  0.0     1.0             23.447   1.0       0.0
 PP0497         427610.122    6655135.890       1  0.0     1.0             31.108   1.0       0.0
 PP0498         427214.142    6654725.770       1  0.0     1.0             36.449   1.0       0.0
 PP0499         427249.497    6654761.130       1  0.0     1.0             36.451   1.0       0.0
 PP0500         427284.853    6654796.480       1  0.0     1.0             36.451   1.0       0.0
 PP0501         427320.208    6654831.840       1  0.0     1.0             36.450   1.0       0.0
 PP0502         427355.563    6654867.190       1  0.0     1.0             36.452   1.0       0.0
 PP0503         427390.919    6654902.550       1  0.0     1.0             25.508   1.0       0.0
 PP0504         427405.061    6654916.690       1  0.0     1.0             23.566   1.0       0.0
 PP0505         427440.416    6654952.050       1  0.0     1.0             34.605   1.0       0.0
 PP0506         427475.772    6654987.400       1  0.0     1.0             27.100   1.0       0.0
 PP0507         427493.449    6655001.540       1  0.0     1.0             24.055   1.0       0.0
 PP0508         427504.056    6655015.690       1  0.0     1.0             26.414   1.0       0.0
 PP0509         427539.411    6655051.040       1  0.0     1.0             31.934   1.0       0.0
 PP0510         427574.767    6655086.400       1  0.0     1.0             32.823   1.0       0.0
 PP0511         427606.586    6655121.750       1  0.0     1.0             25.333   1.0       0.0
 PP0512         427617.193    6655132.360       1  0.0     1.0             34.011   1.0       0.0
 PP0513         427207.071    6654704.560       1  0.0     1.0             43.888   1.0       0.0
 PP0514         427242.426    6654739.910       1  0.0     1.0             36.312   1.0       0.0
 PP0515         427277.782    6654775.270       1  0.0     1.0             36.314   1.0       0.0
 PP0516         427313.137    6654810.620       1  0.0     1.0             36.312   1.0       0.0
 PP0517         427348.492    6654845.980       1  0.0     1.0             36.312   1.0       0.0
 PP0518         427383.848    6654881.340       1  0.0     1.0             33.642   1.0       0.0
 PP0519         427405.061    6654899.010       1  0.0     1.0             23.486   1.0       0.0
 PP0520         427415.668    6654909.620       1  0.0     1.0             24.450   1.0       0.0
 PP0521         427447.487    6654944.970       1  0.0     1.0             31.650   1.0       0.0
 PP0522         427482.843    6654980.330       1  0.0     1.0             25.504   1.0       0.0
 PP0523         427500.520    6654994.470       1  0.0     1.0             23.255   1.0       0.0
 PP0524         427532.340    6655029.830       1  0.0     1.0             33.146   1.0       0.0
 PP0525         427567.696    6655065.180       1  0.0     1.0             36.148   1.0       0.0
 PP0526         427603.051    6655100.540       1  0.0     1.0             31.461   1.0       0.0
 PP0527         427221.213    6654704.560       1  0.0     1.0             42.588   1.0       0.0
 PP0528         427256.569    6654739.910       1  0.0     1.0             36.596   1.0       0.0
 PP0529         427291.924    6654775.270       1  0.0     1.0             36.597   1.0       0.0
 PP0530         427327.279    6654810.620       1  0.0     1.0             36.596   1.0       0.0
 PP0531         427362.635    6654845.980       1  0.0     1.0             36.596   1.0       0.0
 PP0532         427397.990    6654881.340       1  0.0     1.0             31.557   1.0       0.0
 PP0533         427419.203    6654899.010       1  0.0     1.0             23.537   1.0       0.0
 PP0534         427447.487    6654930.830       1  0.0     1.0             29.603   1.0       0.0
 PP0535         427482.843    6654966.190       1  0.0     1.0             24.764   1.0       0.0
 PP0536         427500.520    6654980.330       1  0.0     1.0             22.823   1.0       0.0
 PP0537         427511.127    6654994.470       1  0.0     1.0             26.342   1.0       0.0
 PP0538         427546.482    6655029.830       1  0.0     1.0             35.855   1.0       0.0
 PP0539         427581.838    6655065.180       1  0.0     1.0             36.633   1.0       0.0
 PP0540         427617.193    6655100.540       1  0.0     1.0             35.390   1.0       0.0
 PP0541         427242.426    6654711.630       1  0.0     1.0             38.066   1.0       0.0
 PP0542         427277.782    6654746.980       1  0.0     1.0             36.740   1.0       0.0
 PP0543         427313.137    6654782.340       1  0.0     1.0             36.739   1.0       0.0
 PP0544         427348.492    6654817.700       1  0.0     1.0             36.741   1.0       0.0
 PP0545         427383.848    6654853.050       1  0.0     1.0             36.740   1.0       0.0
 PP0546         427419.203    6654888.410       1  0.0     1.0             26.167   1.0       0.0
 PP0547         427429.810    6654902.550       1  0.0     1.0             24.287   1.0       0.0
 PP0548         427447.487    6654916.690       1  0.0     1.0             27.019   1.0       0.0
 PP0549         427475.772    6654948.510       1  0.0     1.0             26.168   1.0       0.0
 PP0550         427482.843    6654948.510       1  0.0     1.0             24.027   1.0       0.0
 PP0551         427493.449    6654959.120       1  0.0     1.0             23.469   1.0       0.0
 PP0552         427500.520    6654973.260       1  0.0     1.0             24.090   1.0       0.0
 PP0553         427518.198    6654987.400       1  0.0     1.0             28.905   1.0       0.0
 PP0554         427553.553    6655022.760       1  0.0     1.0             36.289   1.0       0.0
 PP0555         427588.909    6655058.110       1  0.0     1.0             36.562   1.0       0.0
 PP0556         427624.264    6655093.470       1  0.0     1.0             43.436   1.0       0.0
 PP0557         427256.569    6654711.630       1  0.0     1.0             37.735   1.0       0.0
 PP0558         427291.924    6654746.980       1  0.0     1.0             36.410   1.0       0.0
 PP0559         427327.279    6654782.340       1  0.0     1.0             36.409   1.0       0.0
 PP0560         427362.635    6654817.700       1  0.0     1.0             36.410   1.0       0.0
 PP0561         427397.990    6654853.050       1  0.0     1.0             36.411   1.0       0.0
 PP0562         427433.345    6654888.410       1  0.0     1.0             25.392   1.0       0.0
 PP0563         427443.952    6654902.550       1  0.0     1.0             24.710   1.0       0.0
 PP0564         427461.630    6654916.690       1  0.0     1.0             25.313   1.0       0.0
 PP0565         427472.236    6654930.830       1  0.0     1.0             24.778   1.0       0.0
 PP0566         427482.843    6654941.440       1  0.0     1.0             24.039   1.0       0.0
 PP0567         427504.056    6654959.120       1  0.0     1.0             27.037   1.0       0.0
 PP0568         427539.411    6654994.470       1  0.0     1.0             36.682   1.0       0.0
 PP0569         427574.767    6655029.830       1  0.0     1.0             36.960   1.0       0.0
 PP0570         427610.122    6655065.180       1  0.0     1.0             41.705   1.0       0.0
 PP0571         427263.640    6654704.560       1  0.0     1.0             40.822   1.0       0.0
 PP0572         427298.995    6654739.910       1  0.0     1.0             36.265   1.0       0.0
 PP0573         427334.350    6654775.270       1  0.0     1.0             36.266   1.0       0.0
 PP0574         427369.706    6654810.620       1  0.0     1.0             36.266   1.0       0.0
 PP0575         427405.061    6654845.980       1  0.0     1.0             36.268   1.0       0.0
 PP0576         427440.416    6654881.340       1  0.0     1.0             28.551   1.0       0.0
 PP0577         427458.094    6654895.480       1  0.0     1.0             26.020   1.0       0.0
 PP0578         427465.165    6654909.620       1  0.0     1.0             25.743   1.0       0.0
 PP0579         427475.772    6654920.230       1  0.0     1.0             26.369   1.0       0.0
 PP0580         427496.985    6654937.900       1  0.0     1.0             27.545   1.0       0.0
 PP0581         427532.340    6654973.260       1  0.0     1.0             33.695   1.0       0.0
 PP0582         427567.696    6655008.610       1  0.0     1.0             36.282   1.0       0.0
 PP0583         427603.051    6655043.970       1  0.0     1.0             41.372   1.0       0.0
 PP0584         427277.782    6654704.560       1  0.0     1.0             41.845   1.0       0.0
 PP0585         427313.137    6654739.910       1  0.0     1.0             37.064   1.0       0.0
 PP0586         427348.492    6654775.270       1  0.0     1.0             37.065   1.0       0.0
 PP0587         427383.848    6654810.620       1  0.0     1.0             37.065   1.0       0.0
 PP0588         427419.203    6654845.980       1  0.0     1.0             37.067   1.0       0.0
 PP0589         427454.558    6654881.340       1  0.0     1.0             29.261   1.0       0.0
 PP0590         427489.914    6654916.690       1  0.0     1.0             28.907   1.0       0.0
 PP0591         427525.269    6654952.050       1  0.0     1.0             34.245   1.0       0.0
 PP0592         427560.624    6654987.400       1  0.0     1.0             37.316   1.0       0.0
 PP0593         427595.980    6655022.760       1  0.0     1.0             41.955   1.0       0.0
 PP0594         427291.924    6654704.560       1  0.0     1.0             43.488   1.0       0.0
 PP0595         427327.279    6654739.910       1  0.0     1.0             37.385   1.0       0.0
 PP0596         427362.635    6654775.270       1  0.0     1.0             37.383   1.0       0.0
 PP0597         427397.990    6654810.620       1  0.0     1.0             37.385   1.0       0.0
 PP0598         427433.345    6654845.980       1  0.0     1.0             38.151   1.0       0.0
 PP0599         427468.701    6654881.340       1  0.0     1.0             32.616   1.0       0.0
 PP0600         427504.056    6654916.690       1  0.0     1.0             34.640   1.0       0.0
 PP0601         427539.411    6654952.050       1  0.0     1.0             38.058   1.0       0.0
 PP0602         427574.767    6654987.400       1  0.0     1.0             41.084   1.0       0.0
 PP0603         427610.122    6655022.760       1  0.0     1.0             50.217   1.0       0.0
 PP0604         427327.279    6654725.770       1  0.0     1.0             38.629   1.0       0.0
 PP0605         427362.635    6654761.130       1  0.0     1.0             36.314   1.0       0.0
 PP0606         427397.990    6654796.480       1  0.0     1.0             36.311   1.0       0.0
 PP0607         427433.345    6654831.840       1  0.0     1.0             39.660   1.0       0.0
 PP0608         427468.701    6654867.190       1  0.0     1.0             38.182   1.0       0.0
 PP0609         427504.056    6654902.550       1  0.0     1.0             39.018   1.0       0.0
 PP0610         427539.411    6654937.900       1  0.0     1.0             41.891   1.0       0.0
 PP0611         427574.767    6654973.260       1  0.0     1.0             45.017   1.0       0.0
 PP0612         427320.208    6654704.560       1  0.0     1.0             48.095   1.0       0.0
 PP0613         427355.563    6654739.910       1  0.0     1.0             36.492   1.0       0.0
 PP0614         427390.919    6654775.270       1  0.0     1.0             36.489   1.0       0.0
 PP0615         427426.274    6654810.620       1  0.0     1.0             41.766   1.0       0.0
 PP0616         427461.630    6654845.980       1  0.0     1.0             46.522   1.0       0.0
 PP0617         427496.985    6654881.340       1  0.0     1.0             45.005   1.0       0.0
 PP0618         427532.340    6654916.690       1  0.0     1.0             46.684   1.0       0.0
 PP0619         427567.696    6654952.050       1  0.0     1.0             47.469   1.0       0.0
 PP0620         427362.635    6654732.840       1  0.0     1.0             38.627   1.0       0.0
 PP0621         427397.990    6654768.200       1  0.0     1.0             40.297   1.0       0.0
 PP0622         427433.345    6654803.550       1  0.0     1.0             47.943   1.0       0.0
 PP0623         427369.706    6654725.770       1  0.0     1.0             42.982   1.0       0.0
 PP0624         427405.061    6654761.130       1  0.0     1.0             45.304   1.0       0.0
 PP0625         427362.635    6654704.560       1  0.0     1.0             55.013   1.0       0.0
 PP0626         427397.990    6654739.910       1  0.0     1.0             47.355   1.0       0.0
