 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP0081         427249.497    6655128.820       1  0.0     1.0             43.161   1.0       0.0
 PP0082         427284.853    6655164.180       1  0.0     1.0             43.163   1.0       0.0
 PP0083         427320.208    6655199.530       1  0.0     1.0             43.160   1.0       0.0
 PP0084         427355.564    6655234.890       1  0.0     1.0             43.164   1.0       0.0
 PP0085         427390.919    6655270.240       1  0.0     1.0             43.278   1.0       0.0
 PP0086         426924.228    6654789.410       1  0.0     1.0             37.038   1.0       0.0
 PP0087         426959.584    6654824.770       1  0.0     1.0             36.481   1.0       0.0
 PP0088         426994.939    6654860.120       1  0.0     1.0             36.478   1.0       0.0
 PP0089         427030.294    6654895.480       1  0.0     1.0             35.385   1.0       0.0
 PP0090         427065.650    6654930.830       1  0.0     1.0             27.469   1.0       0.0
 PP0091         427086.863    6654948.510       1  0.0     1.0             23.779   1.0       0.0
 PP0092         427115.147    6654980.330       1  0.0     1.0             31.915   1.0       0.0
 PP0093         427150.503    6655015.690       1  0.0     1.0             38.354   1.0       0.0
 PP0094         427185.858    6655051.040       1  0.0     1.0             39.260   1.0       0.0
 PP0095         427221.213    6655086.400       1  0.0     1.0             39.262   1.0       0.0
 PP0096         427256.569    6655121.750       1  0.0     1.0             39.258   1.0       0.0
 PP0097         427291.924    6655157.110       1  0.0     1.0             39.262   1.0       0.0
 PP0098         427327.279    6655192.460       1  0.0     1.0             39.258   1.0       0.0
 PP0099         427362.635    6655227.820       1  0.0     1.0             39.262   1.0       0.0
 PP0100         427397.990    6655263.170       1  0.0     1.0             39.258   1.0       0.0
 PP0101         426924.228    6654775.270       1  0.0     1.0             38.161   1.0       0.0
 PP0102         426959.584    6654810.620       1  0.0     1.0             36.073   1.0       0.0
 PP0103         426994.939    6654845.980       1  0.0     1.0             36.070   1.0       0.0
 PP0104         427030.294    6654881.340       1  0.0     1.0             36.072   1.0       0.0
 PP0105         427065.650    6654916.690       1  0.0     1.0             33.183   1.0       0.0
 PP0106         427093.934    6654948.510       1  0.0     1.0             24.328   1.0       0.0
 PP0107         427101.005    6654948.510       1  0.0     1.0             24.531   1.0       0.0
 PP0108         427129.289    6654980.330       1  0.0     1.0             31.754   1.0       0.0
 PP0109         427164.645    6655015.690       1  0.0     1.0             36.739   1.0       0.0
 PP0110         427200.000    6655051.040       1  0.0     1.0             36.738   1.0       0.0
 PP0111         427235.355    6655086.400       1  0.0     1.0             36.738   1.0       0.0
 PP0112         427270.711    6655121.750       1  0.0     1.0             36.737   1.0       0.0
 PP0113         427306.066    6655157.110       1  0.0     1.0             36.738   1.0       0.0
 PP0114         427341.421    6655192.460       1  0.0     1.0             36.737   1.0       0.0
 PP0115         427376.777    6655227.820       1  0.0     1.0             36.738   1.0       0.0
 PP0116         427412.132    6655263.170       1  0.0     1.0             37.788   1.0       0.0
 PP0117         426931.299    6654768.200       1  0.0     1.0             37.790   1.0       0.0
 PP0118         426966.655    6654803.550       1  0.0     1.0             36.118   1.0       0.0
 PP0119         427002.010    6654838.910       1  0.0     1.0             36.117   1.0       0.0
 PP0120         427037.365    6654874.260       1  0.0     1.0             36.120   1.0       0.0
 PP0121         427072.721    6654909.620       1  0.0     1.0             35.724   1.0       0.0
 PP0122         427104.541    6654944.970       1  0.0     1.0             24.853   1.0       0.0
 PP0123         427115.147    6654955.580       1  0.0     1.0             26.003   1.0       0.0
 PP0124         427136.360    6654973.260       1  0.0     1.0             28.835   1.0       0.0
 PP0125         427171.716    6655008.610       1  0.0     1.0             35.735   1.0       0.0
 PP0126         427207.071    6655043.970       1  0.0     1.0             35.733   1.0       0.0
 PP0127         427242.426    6655079.330       1  0.0     1.0             35.736   1.0       0.0
 PP0128         427277.782    6655114.680       1  0.0     1.0             35.732   1.0       0.0
 PP0129         427313.137    6655150.040       1  0.0     1.0             35.735   1.0       0.0
 PP0130         427348.492    6655185.390       1  0.0     1.0             35.732   1.0       0.0
 PP0131         427383.848    6655220.750       1  0.0     1.0             35.736   1.0       0.0
 PP0132         427419.203    6655256.100       1  0.0     1.0             35.731   1.0       0.0
 PP0133         426931.299    6654754.060       1  0.0     1.0             43.807   1.0       0.0
 PP0134         426966.655    6654789.410       1  0.0     1.0             36.897   1.0       0.0
 PP0135         427002.010    6654824.770       1  0.0     1.0             36.899   1.0       0.0
 PP0136         427037.365    6654860.120       1  0.0     1.0             36.897   1.0       0.0
 PP0137         427072.721    6654895.480       1  0.0     1.0             36.898   1.0       0.0
 PP0138         427108.076    6654930.830       1  0.0     1.0             28.700   1.0       0.0
 PP0139         427125.754    6654944.970       1  0.0     1.0             25.240   1.0       0.0
 PP0140         427136.360    6654959.120       1  0.0     1.0             24.144   1.0       0.0
 PP0141         427171.716    6654994.470       1  0.0     1.0             36.042   1.0       0.0
 PP0142         427207.071    6655029.830       1  0.0     1.0             36.024   1.0       0.0
 PP0143         427242.426    6655065.180       1  0.0     1.0             36.026   1.0       0.0
 PP0144         427277.782    6655100.540       1  0.0     1.0             36.022   1.0       0.0
 PP0145         427313.137    6655135.890       1  0.0     1.0             36.025   1.0       0.0
 PP0146         427348.492    6655171.250       1  0.0     1.0             36.022   1.0       0.0
 PP0147         427383.848    6655206.600       1  0.0     1.0             36.026   1.0       0.0
 PP0148         427419.203    6655241.960       1  0.0     1.0             36.022   1.0       0.0
 PP0149         427454.558    6655277.310       1  0.0     1.0             48.640   1.0       0.0
 PP0150         426959.584    6654768.200       1  0.0     1.0             36.429   1.0       0.0
 PP0151         426994.939    6654803.550       1  0.0     1.0             36.429   1.0       0.0
